facility,hours_7y,mean_cost,total_cost,status,branch_uid,cur_rating,n1,n2,kv,kv1,kv2,hits1,hits2,bus1,bus2
CENTRAL EAST - VC,28169,32.06,902970.0,interface_constraint,,,,,,,,,,,
DUNWODIE 345 SHORE_RD 345 1,27367,7.98,218309.0,matched,LTP_K_Y50_SHR_DUN,1300.0,DUNWODIE,SHORE_RD,345.0,,,,,,
FRESHKLS 138 WILLWBRK 138 1,16183,9.47,153270.0,unmatched_name,,,FRESHKLS,WILLWBRK,,138.0,138.0,0.0,1.0,,
SCH - NE - NY,14991,-8.25,-123734.0,interface_constraint,,,,,,,,,,,
SCH - NPX_1385,13403,5.37,71951.0,interface_constraint,,,,,,,,,,,
SPRNBRK  345 EGRDNCTR 345 1,13062,5.36,69981.0,matched,LTP_K_Y49_EGC_SPR,1300.0,SPRNBRK,EGRDNCTR,345.0,,,,,,
E179THST 138 HELLGATE 138 1,12980,5.24,67988.0,missing_branch,,,E179THST,HELLGATE,138.0,,,,,10120.0,10125.0
RAINEY   138 VERNON   138 1,12302,3.11,38211.0,unmatched_name,,,RAINEY,VERNON,,138.0,138.0,0.0,1.0,,
EGRDNCTY 138 VALLYSTR 138 1,11629,14.18,164952.0,unmatched_name,,,EGRDNCTY,VALLYSTR,,138.0,138.0,0.0,1.0,,
GREENWD  138 VERNON   138 1,9909,-32.42,-321268.0,missing_branch,,,GREENWD,VERNON,138.0,,,,,10124.0,10134.0
ADIRNDCK 230 MOSES    230 1,6760,-31.29,-211507.0,unmatched_name,,,ADIRNDCK,MOSES,,230.0,230.0,0.0,0.0,,
NIAGB130 115 PACKARD  115 1,5286,-106.4,-562435.0,unmatched_name,,,NIAGB130,PACKARD,,115.0,115.0,0.0,0.0,,
SCH - PJ - NY,5207,15.12,78709.0,interface_constraint,,,,,,,,,,,
GOWANUS  138 GREENWD  138 1,4914,10.26,50425.0,unmatched_name,,,GOWANUS,GREENWD,,138.0,138.0,0.0,1.0,,
ASTANNEX 138 ASTORIAE 138 1,4751,12.93,61438.0,unmatched_name,,,ASTANNEX,ASTORIAE,,138.0,138.0,0.0,0.0,,
SCH - OH - NY,4376,5.6,24519.0,interface_constraint,,,,,,,,,,,
NIAGARA  230 PACKARD  230 1,4306,14.46,62270.0,unmatched_name,,,NIAGARA,PACKARD,,230.0,230.0,0.0,1.0,,
BUFALO78 115 HUNTLEY  115 1,4261,14.84,63235.0,unmatched_name,,,BUFALO78,HUNTLEY,,115.0,115.0,2.0,0.0,,
SCRIBA   345 VOLNEY   345 1,3769,27.57,103919.0,matched,L224_227,999999.0,SCRIBA,VOLNEY,345.0,,,,,,
NIAGARA  115 NIAGARA  230 1,3731,-8.92,-33294.0,unmatched_name,,,NIAGARA,NIAGARA,,115.0,230.0,0.0,0.0,,
CRICKVLY 345 PLSNTVLY 345 1,3646,13.06,47624.0,matched,L58_426,999999.0,CRICKVLY,PLSNTVLY,345.0,,,,,,
