Time,CAPITL,CENTRL,DUNWOD,GENESE,HUD VL,LONGIL,MHK VL,MILLWD,N.Y.C.,NORTH,WEST,NYCA
2021-01-01 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01 09:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01 10:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01 11:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01 12:00:00,2.07,0.15,1.71,0.09,4.81,10.59,0.42,0.76,4.2,0.0,0.0,24.8
2021-01-01 13:00:00,31.92,6.44,14.66,4.69,35.83,69.69,7.28,6.49,28.28,0.19,2.63,208.09
2021-01-01 14:00:00,80.64,19.88,34.8,11.5,68.73,140.79,15.75,15.41,67.82,0.61,9.16,465.1
2021-01-01 15:00:00,102.43,23.49,44.83,12.5,76.1,189.85,18.33,19.84,73.54,0.76,10.98,572.66
2021-01-01 16:00:00,90.7,20.47,31.18,11.72,59.34,132.11,16.53,13.8,41.29,0.53,14.51,432.18
2021-01-01 17:00:00,63.85,21.85,25.33,14.16,53.71,93.9,15.47,11.21,41.27,0.66,12.48,353.89
2021-01-01 18:00:00,51.31,15.92,20.49,9.4,36.54,77.34,10.34,9.07,33.31,0.48,8.34,272.54
2021-01-01 19:00:00,29.52,9.48,8.9,5.23,15.81,47.14,5.31,3.94,15.99,0.28,3.1,144.68
2021-01-01 20:00:00,9.07,2.68,2.84,1.25,5.11,12.91,1.74,1.26,4.18,0.06,1.02,42.12
2021-01-01 21:00:00,0.27,0.02,0.17,0.02,0.05,0.2,0.02,0.08,0.33,0.0,0.0,1.16
2021-01-01 22:00:00,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.03,0.09,0.0,0.0,0.17
2021-01-01 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-02 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-02 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
