eia_plant_id,plant_name,generator_id,county,latitude,longitude,nameplate_mw,technology,status,operating_year,ba_code
57589.0,Long Island Solar Farm LLC,9WUBN,Suffolk,40.861111,-72.847777,31.5,Solar Photovoltaic,OP,2011,NYIS
58550.0,Owens Corning at Bethlehem,PV1,Albany,42.586944,-73.865,2.0,Solar Photovoltaic,OP,2013,NYIS
58647.0,Port Richmond WWT Solar,1,Richmond,40.638056,-74.126111,1.0,Solar Photovoltaic,OP,2015,NYIS
58785.0,Brentwood Solar,BRT1,Suffolk,40.781389,-73.243889,1.0,Solar Photovoltaic,OP,2011,NYIS
58786.0,Deer Park,DRP1,Suffolk,40.760833,-73.193889,2.5,Solar Photovoltaic,OP,2012,NYIS
58787.0,Dennison,DNN1,Suffolk,40.763056,-73.323611,2.0,Solar Photovoltaic,OP,2011,NYIS
58788.0,North County,NRT1,Suffolk,40.763056,-73.323611,1.0,Solar Photovoltaic,OP,2011,NYIS
58789.0,Riverhead,RVH1,Suffolk,40.826111,-73.232222,1.5,Solar Photovoltaic,OP,2011,NYIS
58790.0,Cohalan,CLN1,Suffolk,40.762465,-73.194441,2.5,Solar Photovoltaic,OP,2012,NYIS
58790.0,Cohalan,CLN2,Suffolk,40.762465,-73.194441,1.5,Solar Photovoltaic,OP,2012,NYIS
59274.0,Sutter Greenworks LLC,SUTTG,Suffolk,40.928056,-72.771111,5.0,Solar Photovoltaic,OP,2015,NYIS
59275.0,Sterlington Greenworks LLC,STERG,Suffolk,41.0675,-72.440278,1.3,Solar Photovoltaic,OP,2015,NYIS
59276.0,Leavenworth Greenworks LLC,LEAVG,Suffolk,40.925278,-72.763333,9.5,Solar Photovoltaic,OP,2016,NYIS
59470.0,Cornell Snyder Road Solar Array,CSR1,Tompkins,42.4975,-76.46,1.8,Solar Photovoltaic,OP,2014,NYIS
59613.0,Town of Williamson Landfill PV,TWLL,Wayne,43.244444,-77.174722,1.2,Solar Photovoltaic,OP,2014,NYIS
59623.0,Clarkson Solar,CSPV,St Lawrence,44.671944,-74.949444,2.0,Solar Photovoltaic,OP,2014,NYIS
59705.0,Steel Sun,SSUN2,Erie,42.812811,-78.845313,2.0,Solar Photovoltaic,OP,2016,NYIS
59789.0,Millbrook School,PV1,Dutchess,41.84581,-73.619485,1.4,Solar Photovoltaic,OP,2015,NYIS
59880.0,Kings Park Solar I,KIPS1,Suffolk,40.868294,-73.249281,2.0,Solar Photovoltaic,OP,2019,NYIS
59881.0,Kings Park Solar II,KIPS2,Suffolk,40.868294,-73.249281,2.0,Solar Photovoltaic,OP,2019,NYIS
60004.0,Clarkstown Landfill Solar Facility,INV#1,Rockland,41.100409,-73.951593,1.0,Solar Photovoltaic,OP,2014,NYIS
60004.0,Clarkstown Landfill Solar Facility,INV#2,Rockland,41.100409,-73.951593,1.0,Solar Photovoltaic,OP,2014,NYIS
60045.0,Shoreham Solar Commons,GEN1,Suffolk,40.934411,-72.888511,24.9,Solar Photovoltaic,OP,2018,NYIS
60097.0,Onondaga County - Metro Water Board,PV1,Onondaga,43.183782,-76.224075,1.0,Solar Photovoltaic,OP,2016,NYIS
60098.0,Onondaga County - Oak Orchard WWTP,PV1,Onondaga,43.172719,-76.130123,2.0,Solar Photovoltaic,OP,2017,NYIS
60114.0,Oneida County- DPW,PV1,Oneida,43.150761,-75.371258,1.5,Solar Photovoltaic,OP,2017,ISNE
60115.0,Town of Halfmoon,PV1,Saratoga,42.834978,-73.675675,1.0,Solar Photovoltaic,OP,2017,ISNE
60150.0,Cornell Geneva Solar Farm,ARGOS,Ontario,42.866,-77.031,2.0,Solar Photovoltaic,OP,2015,NYIS
60229.0,Orange County Solar Farm (NY),PV1,Orange,41.404879,-74.359495,1.5,Solar Photovoltaic,OP,2017,ISNE
60232.0,Onondaga County- Jamesville,PV1,Onondaga,42.986644,-76.064219,2.0,Solar Photovoltaic,OP,2018,NYIS
60365.0,Vulcraft Solar,VULC,Chemung,42.005874,-76.61935,1.6,Solar Photovoltaic,OP,2013,NYIS
60425.0,Skidmore College,SO049,Saratoga,43.093682,-73.81132,1.8,Solar Photovoltaic,OP,2014,NYIS
60431.0,Tompkins Cortland Community College,TC3,Tompkins,42.5025,-76.2865,2.0,Solar Photovoltaic,OP,2015,NYIS
60452.0,Calverton,CALV,Suffolk,40.921086,-72.743701,3.0,Solar Photovoltaic,OP,2015,NYIS
60453.0,"Cummins, Inc",CUMM,Chautauqua,42.08124,-79.36125,1.8,Solar Photovoltaic,OP,2015,NYIS
60454.0,Houghton,HOUGH,Allegany,42.426731,-78.156589,2.0,Solar Photovoltaic,OP,2015,NYIS
60455.0,Oneida - South,ONS,Oneida,43.166353,-75.386866,1.9,Solar Photovoltaic,OP,2015,NYIS
