owner_station_unit,zone,ptid,town,county_fips,state_fips,cod,plate_mw,cris_mw,sum_cap,win_cap,sum_2024,win_2024,dual,unit_type,fuel1,fuel2,energy_gwh,notes
Jamestown Board of Public Utilities Jamestown 5,A,1658,Jamestown,013,36,1951-08-01,28.7,,23.0,23.0,19.0,21.2,True,ST,NG,FO2,1.0,
Jamestown Board of Public Utilities Jamestown 6,A,1658,Jamestown,013,36,1968-08-01,25.0,,22.4,22.4,16.5,18.4,True,ST,NG,FO2,4.2,
Jamestown Board of Public Utilities Jamestown 7,A,1659,Jamestown,013,36,2002-01-01,47.3,,40.0,40.0,39.2,45.2,False,GT,NG,,28.3,
New York Power Authority Lewiston PS (Fleet),A,23760,Niagara Falls,063,36,1961-01-01,240.0,,240.0,240.0,240.0,240.0,False,PS,WAT,,-238.4,
New York Power Authority Moses Niagara (Fleet),A,23760,Niagara Falls,063,36,1961-01-01,2860.0,,2460.0,2460.0,2435.0,2435.0,False,HY,WAT,,15585.1,
Indeck-Yerkes LP Indeck-Yerkes,A,23781,Tonawanda,029,36,1990-02-01,59.9,,49.7,60.5,43.1,53.8,True,CC,NG,FO2,20.9,
Erie Blvd. Hydro - NYS Barge Hydraulic Race,A,23848,Lockport,063,36,1942-01-01,4.7,,3.1,3.1,4.7,4.7,False,HY,WAT,,7.6,
Indeck-Olean LP Indeck-Olean,A,23982,Olean,009,36,1993-12-01,90.6,,79.4,88.5,79.0,86.0,True,CC,NG,FO2,34.5,
"Covanta Niagara, LP American Ref-Fuel 1",A,24010,Niagara,063,36,1993-05-01,25.0,,19.6,19.6,18.8,19.1,False,ST,REF,,261.6,(G)
"Covanta Niagara, LP American Ref-Fuel 2",A,24010,Niagara,063,36,1993-05-01,25.0,,19.6,19.6,18.8,19.0,False,ST,REF,,,
Model City Energy LLC Model City Energy,A,24167,Lewiston,063,36,2001-06-01,5.6,,5.6,5.6,5.6,5.6,False,IC,MTE,,23.8,
"Modern Innovative Energy, LLC Modern LF",A,323580,Lewiston,063,36,2006-02-01,6.4,,6.4,6.4,6.4,6.4,False,IC,MTE,,24.7,
"Niagara Wind Power, LLC Steel Wind",A,323596,Lackawanna,029,36,2007-01-23,20.0,,0.0,0.0,0.0,0.0,False,WT,LBW,,54.9,
"WM Renewable Energy,LLC Chaffee",A,323603,Chaffee,029,36,2007-08-09,6.4,,6.4,6.4,6.4,6.4,False,IC,MTE,,4.5,
"Valcour Bliss Windpark, LLC Bliss Wind Power",A,323608,Bliss,121,36,2008-03-20,100.5,,100.5,100.5,100.5,100.5,False,WT,LBW,,171.7,
Castleton Commodities Energy Services LLC Chautauqua LFGE,A,323629,Jamestown,013,36,2010-02-12,9.6,,0.0,0.0,0.0,0.0,False,IC,MTE,,0.0,
"Erie Wind, LLC Erie Wind",A,323693,Lackawanna,029,36,2012-02-01,15.0,,0.0,0.0,0.0,0.0,False,WT,LBW,,41.3,
Arkwright Summit Wind Farm LLC Arkwright Summit Wind Farm,A,323751,Arkwright,013,36,2018-09-01,78.4,,78.4,78.4,78.4,78.4,False,WT,LBW,,230.3,
Lockport Energy Assoc. Lockport CC1,A,323769,Lockport,063,36,1992-07-01,73.8,,75.1,87.3,70.0,74.5,True,CC,NG,FO2,186.9,(G)
Lockport Energy Assoc. Lockport CC2,A,323770,Lockport,063,36,1992-07-01,73.8,,75.1,87.2,70.0,74.5,True,CC,NG,FO2,,
Lockport Energy Assoc. Lockport CC3,A,323771,Lockport,063,36,1992-07-01,73.8,,75.0,87.2,70.0,74.5,True,CC,NG,FO2,,
"Cassadaga Wind, LLC Cassadaga Wind",A,323784,Charlotte,013,36,2021-04-01,126.5,,126.0,126.0,0.0,0.0,False,WT,LBW,,214.9,
Orangeville Energy Storage LLC Orangeville ESR,A,323794,Orangeville,121,36,2021-10-19,20.0,,0.0,0.0,0.0,0.0,False,ES,BAT,,-3.0,
Galt Power Inc. KCE NY 6,A,323823,Hamburg,029,36,2023-07-01,20.0,,20.0,20.0,17.0,20.0,False,ES,BAT,,-4.6,
"Ball Hill Wind Energy, LLC Ball Hill Wind",A,323825,Hanover,013,36,2024-02-01,107.5,,100.0,100.0,107.5,107.5,False,WT,LBW,,244.9,
"World Generation X, LLC Fortistar - N.Tonawanda (BTM:NG)",A,323836,N Tonawanda,029,36,1993-06-01,68.5,,59.0,75.0,46.5,60.1,True,CC,NG,FO2,66.8,(E)
