queue_pos,developer_project,zone,cod,plate_mw,sum_cris,win_cris,sum_eris,win_eris,project_type,class_year,min_duration_hr,notes
276,Homer Solar Energy Center LLC Homer Solar Energy Center,C,Apr-26,90.0,90.0,90.0,90.0,90.0,Solar,2019.0,,(2)
495,Mohawk Solar LLC Mohawk Solar,F,Nov-27,90.5,90.5,90.5,90.5,90.5,Solar,2019.0,,(2)
519,Canisteo Wind Energy LLC Canisteo Wind,C,Dec-27,289.8,290.7,290.7,289.8,289.8,Land-Based Wind,2019.0,,(2)
521,Bull Run Energy LLC Bull Run II Wind,D,Dec-26,449.0,449.0,449.0,449.0,449.0,Land-Based Wind,2021.0,,(2)
522,NYC Energy LLC NYC Energy,J,Jun-27,79.9,79.9,79.9,79.9,79.9,Energy Storage,2023.0,4.0,(2)
535,"Riverhead Solar 2, LLC Riverhead Solar 2",K,Jan-27,36.0,36.0,36.0,36.0,36.0,Solar,2019.0,,(2)
545,Sky High Solar LLC Sky High Solar,C,Jun-25,20.0,20.0,20.0,20.0,20.0,Solar,,,(2) (10)
564,"Rock District Solar, LLC Rock District Solar",F,Feb-27,20.0,20.0,20.0,20.0,20.0,Solar,,,(2) (7)
565,"Tayandenega Solar, LLC Tayandenega Solar",F,Feb-27,20.0,20.0,20.0,20.0,20.0,Solar,,,(2) (7)
571,"Heritage Wind, LLC Heritage Wind",B,Sep-26,200.1,200.1,200.1,200.1,200.1,Land-Based Wind,2021.0,,(2)
572,Hecate Energy Greene 1 LLC Greene County 1,G,May-25,20.0,20.0,20.0,20.0,20.0,Solar,,,(2) (7)
573,Hecate Energy Greene 2 LLC Greene County 2,G,May-25,10.0,10.0,10.0,10.0,10.0,Solar,,,(2) (7)
575,"Little Pond Solar, LLC Little Pond Solar",G,Sep-27,20.0,20.0,20.0,20.0,20.0,Solar,,,(2) (7)
581,SunEast Hills Solar LLC Hills Solar,E,Dec-26,20.0,20.0,20.0,20.0,20.0,Solar,,,(2) (8)
