site_id,site_name,zone,county,town,latitude,longitude,nameplate_mw,operating_year,goldbook_ptid,eia_plant_id,uswtdb_project_name,latlon_source,match_quality,eia_match_score,uswtdb_match_score
solar_323809,Galt Power Inc. Puckett Solar,C,Chenango,Greene,42.252664,-75.834078,20.0,2022,323809,65125,,eia860,2,0.778,
solar_323808,Galt Power Inc. Janis Solar,C,Cortland,Willet,42.453939,-75.931033,20.0,2023,323808,65123,,eia860,2,1.014,
solar_323848,Galt Power Inc. Morris Ridge Solar,C,Livingston,Mt Morris,42.663093,-77.890835,179.0,2024,323848,68274,,eia860,2,1.3,
solar_323811,Galt Power Inc. Branscomb Solar,F,Washington,Easton,42.962972,-73.586739,20.0,2021,323811,65122,,eia860,2,0.818,
solar_323810,Galt Power Inc. Darby Solar,F,Washington,Easton,42.970331,-73.573258,20.0,2023,323810,65839,,eia860,2,0.714,
solar_323812,Galt Power Inc. Regan Solar,F,Montgomery,Greene,42.95474,-74.313115,20.0,2022,323812,65124,,eia860,2,1.014,
solar_323813,Galt Power Inc. Grissom Solar,F,Montgomery,Mohawk,42.973,-74.321,20.0,2023,323813,65121,,eia860,2,1.078,
solar_323814,Galt Power Inc. Stillwater Solar,F,Saratoga,Stillwater,42.926231,-73.711468,20.0,2024,323814,65841,,eia860,2,1.014,
solar_323815,Galt Power Inc. Pattersonville Solar,F,Schenectady,Schenectady,42.8808,-74.0951,20.0,2024,323815,65840,,eia860,2,1.0,
solar_323833,Hecate Energy Albany 1 LLC Albany County Solar 1,F,Albany,Colonie,42.515459,-73.833448,20.0,2024,323833,64077,,eia860,2,1.151,
solar_323834,Hecate Energy Albany 2 LLC Albany County Solar 2,F,Albany,Colonie,42.515459,-73.833448,20.0,2024,323834,64077,,eia860,2,1.151,
solar_323840,"NextEra Energy Marketing, LLC East Point Solar",F,Schoharie,Sharon Springs,42.461371,-74.335092,50.0,2024,323840,65805,,eia860,2,1.3,
solar_323847,"NextEra Energy Marketing, LLC High River Solar",F,Montgomery,Florida,42.901856,-74.13273,90.0,2024,323847,65765,,eia860,2,1.3,
solar_323691,Long Island Power Authority Long Island Solar Farm,K,Suffolk,Upton,40.861111,-72.847777,31.5,2011,323691,57589,,eia860,2,0.8,
solar_323806,Long Island Power Authority Calverton Solar,K,Suffolk,Riverhead,40.91367,-72.750359,22.9,2022,323806,65679,,eia860,2,0.75,
solar_323752,Shoreham Solar Commons LLC Shoreham Solar,K,Suffolk,East Shoreham,40.934411,-72.888511,25.0,2018,323752,60045,,eia860,2,1.08,
