p_name,n_turbines,latitude,longitude,project_capacity_mw,project_year,county,eia_plant_id,sum_turbine_capacity_mw,nameplate_mw
Maple Ridge I,1,43.79159,-75.62775,231.0,2006.0,Lewis County,56290.0,1.65,231.0
Marble River,70,44.92812714285714,-73.93881771428572,215.25,2012.0,Clinton County,56857.0,215.25,215.25
Maple Ridge,112,43.747380535714285,-75.55331866071428,184.8,2006.0,Lewis County,56290.0,184.8,184.8
Maple Ridge (Lowville),82,43.80785975609756,-75.62250512195122,136.95,2005.0,Lewis County,56290.0,135.3,136.95
Noble Wethersfield,84,42.622928095238095,-78.26085630952382,126.0,2009.0,Wyoming County,56902.0,126.0,126.0
Cassadaga,37,42.315485675675674,-79.17470486486486,125.48,2021.0,Chautauqua County,58777.0,125.475,125.48
Dutch Hill/Cohocton,50,42.53305,-77.4547076,125.0,2009.0,Steuben County,56634.0,125.0,125.0
Baron Winds I,32,42.474311875,-77.5356603125,121.8,2023.0,Steuben County,60596.0,121.8,121.8
Eight Point Wind,24,42.073445416666665,-77.69628291666668,116.5,2023.0,Steuben County,66052.0,111.0,116.5
High Sheldon,75,42.74401133333333,-78.3937928,112.5,2009.0,Wyoming County,56953.0,112.5,112.5
Bluestone Wind,26,42.09650653846154,-75.50982461538462,111.8,2023.0,Broome County,65496.0,111.8,111.8
Ball Hill Wind,25,42.410562,-79.133326,107.5,2023.0,Chautauqua County,65495.0,107.5,107.5
Noble Chateaugay,71,44.89893802816901,-74.03576154929577,106.5,2009.0,Franklin County,56904.0,106.5,106.5
Noble Clinton,67,44.921358656716414,-73.9939323880597,100.5,2008.0,Clinton County,56618.0,100.5,100.5
Noble Bliss,67,42.54511537313433,-78.25864194029852,100.5,2008.0,Wyoming County,56620.0,100.5,100.5
Number Three Wind Farm,27,43.842781111111115,-75.5992362962963,99.5,2023.0,Lewis County,65522.0,99.5,99.5
Noble Altona,65,44.82063307692308,-73.6496736923077,97.5,2009.0,Clinton County,56901.0,97.5,97.5
Noble Ellenburg,54,44.86983074074074,-73.973735,81.0,2008.0,Clinton County,56619.0,81.0,81.0
Copenhagen,40,43.8908785,-75.63933775000001,80.0,2018.0,Lewis County,58979.0,80.0,80.0
Roaring Brook Wind,20,43.7075445,-75.617106,79.73,2021.0,Lewis County,61041.0,79.725,79.73
Arkwright Summit,36,42.40774833333333,-79.23183305555555,78.4,2018.0,Chautauqua County,61673.0,78.4,78.4
Jericho Rise,37,44.88308324324324,-74.09657189189188,77.7,2016.0,Franklin County,59629.0,77.7,77.7
Hardscrabble,37,43.14359810810811,-74.89501837837838,74.0,2011.0,Herkimer County,57287.0,74.0,74.0
Howard,27,42.312715555555556,-77.53695703703704,51.25,2011.0,Steuben County,57867.0,55.35,51.25
Munnsville,23,42.92641173913044,-75.55896086956521,34.5,2007.0,Madison County,56594.0,34.5,34.5
Fenner Wind Power Project,19,42.98913894736842,-75.76067315789474,30.0,2001.0,Madison County,55790.0,28.5,30.0
Steel Winds,8,42.81790125,-78.8676375,20.0,2007.0,Erie County,56575.0,20.0,20.0
Marsh Hill,10,42.177321,-77.504577,16.2,2014.0,Steuben County,58768.0,16.2,16.2
Steel Winds II,6,42.80724,-78.861695,15.0,2012.0,Erie County,57078.0,15.0,15.0
Madison Windpower,7,42.89491857142857,-75.45204285714286,11.55,2000.0,Madison County,55769.0,11.55,11.55
Orangeville Wind,58,42.746161551724136,-78.2406051724138,9.72,2014.0,Wyoming County,58088.0,93.96,9.72
Zotos,2,42.8867,-76.96805,3.3,2011.0,Ontario County,57648.0,3.3,3.3
Fenner Wind Power Project - Repower,1,42.97555,-75.76784,1.5,2012.0,Madison County,55790.0,1.5,1.5
Seneca Nation,1,42.58089,-79.10269,1.5,2017.0,Erie County,61734.0,1.5,1.5
New York State Thruway Authority,4,42.4307575,-79.3986,1.1,2015.0,Chautauqua County,,1.1,1.1
Harbec Plastics,2,43.226524999999995,-77.36094,0.85,2012.0,Wayne County,62736.0,1.1,0.85
unknown Erie County,2,42.9774,-78.93009,0.2,2017.0,Erie County,,0.1,0.2
Town of Richland,1,43.56519,-76.037,0.1,2010.0,Oswego County,,0.1,0.1
Half Hollow Nursery,1,40.96906,-72.57085,0.1,2010.0,Suffolk County,,0.1,0.1
unknown Allegany County,33,42.4669393939394,-78.27356575757575,,2017.0,Allegany County,,0.0,0.0
unknown Cattaraugus County,32,42.447749375,-78.38089375,,,Cattaraugus County,,0.0,0.0
unknown Cayuga County,1,42.66356,-76.58204,,2016.0,Cayuga County,,0.0,0.0
unknown Chautauqua County,1,42.55933,-79.11637,,,Chautauqua County,,0.0,0.0
unknown Genesee County,1,43.00055,-78.40324,,2019.0,Genesee County,,0.0,0.0
unknown Greene County,1,42.35359,-74.0437,,2011.0,Greene County,,0.0,0.0
unknown Kings County,1,40.66324,-74.0088,,2015.0,Kings County,,0.0,0.0
unknown Montgomery County,2,42.905190000000005,-74.510245,,2017.0,Montgomery County,,0.0,0.0
unknown Niagara County,1,43.2829,-78.49397,,2017.0,Niagara County,,0.0,0.0
unknown Oneida County,2,42.97577,-75.44737,,2017.0,Oneida County,,0.0,0.0
unknown Steuben County,26,42.40840615384616,-77.584455,,,Steuben County,,0.0,0.0
unknown Wyoming County,7,42.55874142857142,-78.31395714285713,,2016.0,Wyoming County,,0.0,0.0
