site,month,hour,mu_a,sigma_a,mu_f,sigma_f,count
solar_323691,1,0,0.0,0.0,0.0,0.0,31
solar_323691,1,1,0.0,0.0,0.0,0.0,31
solar_323691,1,2,0.0,0.0,0.0,0.0,31
solar_323691,1,3,0.0,0.0,0.0,0.0,31
solar_323691,1,4,0.0,0.0,0.0,0.0,31
solar_323691,1,5,0.0,0.0,0.0,0.0,31
solar_323691,1,6,0.0,0.0,0.0,0.0,31
solar_323691,1,7,0.0,0.0,0.0,0.0,31
solar_323691,1,8,0.0,0.0,0.0,0.0,31
solar_323691,1,9,0.0,0.0,0.0,0.0,31
solar_323691,1,10,0.0,0.0,0.0,0.0,31
solar_323691,1,11,0.0,0.0,0.0,0.0,31
solar_323691,1,12,0.0,0.0,0.0,0.0,31
solar_323691,1,13,3.2398233517728623,3.8111846232655866,4.205997540342245,3.4640847468720137,31
solar_323691,1,14,7.51498217112739,7.267279005252146,8.7284421669091,6.470035356680183,31
solar_323691,1,15,10.876011834926423,9.75931006748869,11.439595710341802,8.447412664853235,31
solar_323691,1,16,11.874968281141573,9.748859151742236,12.439819114172627,9.391558977082607,31
solar_323691,1,17,12.301037633238414,10.519337082196202,12.980512869351518,9.560991978815544,31
solar_323691,1,18,11.114623662490887,10.079453186962537,12.729273755641696,8.609135880133211,31
solar_323691,1,19,10.643451949204886,9.294556356043712,8.994447821913372,7.5390636320769655,31
solar_323691,1,20,6.888765090841783,6.621547568976304,6.379956652264443,5.524338208777077,31
solar_323691,1,21,2.5713179317691237,2.59752753081909,3.0512266849364966,3.084899318260593,31
solar_323691,1,22,0.0,0.0,0.002425776771555397,0.011656819230971333,31
solar_323691,1,23,0.0,0.0,0.0,0.0,31
solar_323691,2,0,0.0,0.0,0.0,0.0,29
solar_323691,2,1,0.0,0.0,0.0,0.0,29
solar_323691,2,2,0.0,0.0,0.0,0.0,29
solar_323691,2,3,0.0,0.0,0.0,0.0,29
solar_323691,2,4,0.0,0.0,0.0,0.0,29
solar_323691,2,5,0.0,0.0,0.0,0.0,29
solar_323691,2,6,0.0,0.0,0.0,0.0,29
solar_323691,2,7,0.0,0.0,0.0,0.0,29
solar_323691,2,8,0.0,0.0,0.0,0.0,29
solar_323691,2,9,0.0,0.0,0.0,0.0,29
solar_323691,2,10,0.0,0.0,0.0,0.0,29
solar_323691,2,11,0.0,0.0,0.0,0.0,29
solar_323691,2,12,0.6694249727237538,1.0307227629191515,0.26919831857456133,0.4761349233426023,29
solar_323691,2,13,7.674920764299136,4.162313323183626,6.665745005123235,3.9421575747054254,29
solar_323691,2,14,11.927886226568532,6.840954447729605,10.673665132392733,6.95740399269587,29
solar_323691,2,15,14.707465735293773,8.903428692113213,14.858633956259668,8.452139854569964,29
solar_323691,2,16,17.11958815968328,10.894454511656166,16.543925033080114,9.526107857283298,29
solar_323691,2,17,18.131077672798554,9.811852075247826,18.44450393220754,9.12165397573776,29
solar_323691,2,18,17.76228986192713,9.332071423025152,16.32014396969802,9.566792521575296,29
solar_323691,2,19,16.269672962072093,8.588948667653906,14.72030105042744,7.909764697907336,29
solar_323691,2,20,11.847511089431901,6.781818117869133,12.575138251453295,6.106319093584331,29
solar_323691,2,21,7.573301977261122,4.3881676289043785,8.084768881887669,3.890920657620236,29
solar_323691,2,22,1.0532040434346717,1.1215013848857383,1.5166861116482786,1.357729605864643,29
solar_323691,2,23,0.0,0.0,0.0,0.0,29
solar_323691,3,0,0.0,0.0,0.0,0.0,31
solar_323691,3,1,0.0,0.0,0.0,0.0,31
solar_323691,3,2,0.0,0.0,0.0,0.0,31
solar_323691,3,3,0.0,0.0,0.0,0.0,31
solar_323691,3,4,0.0,0.0,0.0,0.0,31
solar_323691,3,5,0.0,0.0,0.0,0.0,31
solar_323691,3,6,0.0,0.0,0.0,0.0,31
solar_323691,3,7,0.0,0.0,0.0,0.0,31
solar_323691,3,8,0.0,0.0,0.0,0.0,31
solar_323691,3,9,0.0,0.0,0.0,0.0,31
solar_323691,3,10,0.0,0.0,0.0,0.0,31
solar_323691,3,11,0.08954883373689265,0.19713744367434266,0.024542780982478873,0.11309039010326083,31
solar_323691,3,12,2.9572617176408746,2.586975421420531,2.669929942376843,2.095039735360891,31
solar_323691,3,13,7.825868350907319,5.646899786365498,7.660453011600498,4.563583101532981,31
solar_323691,3,14,10.742402310580543,8.577252071851033,11.834720553489122,6.621751607854364,31
solar_323691,3,15,14.99222167399274,10.097072895682851,15.433535743474057,8.165987423538223,31
solar_323691,3,16,16.785587715043338,11.30236015323222,17.6627493609897,9.39557406611902,31
solar_323691,3,17,18.279424237009536,10.732075946357021,17.659132578335086,10.385203853999988,31
solar_323691,3,18,16.07117537148418,11.162641290821494,16.514275300863623,9.7485639457581,31
solar_323691,3,19,14.604482083961852,10.083528324081783,13.573244076850681,8.855993737800814,31
solar_323691,3,20,11.795767783884562,7.839542587076461,10.78108966252724,7.377291492794357,31
solar_323691,3,21,7.371872921866612,5.358416382554031,6.9023599583459125,4.931724350973783,31
solar_323691,3,22,2.658762828644307,2.1160890598559985,2.7709781479546143,2.15936126164706,31
solar_323691,3,23,0.02488186702688207,0.07791205476010155,0.04723899126892688,0.10254269066816225,31
solar_323691,4,0,0.0,0.0,0.0,0.0,30
solar_323691,4,1,0.0,0.0,0.0,0.0,30
solar_323691,4,2,0.0,0.0,0.0,0.0,30
solar_323691,4,3,0.0,0.0,0.0,0.0,30
solar_323691,4,4,0.0,0.0,0.0,0.0,30
solar_323691,4,5,0.0,0.0,0.0,0.0,30
solar_323691,4,6,0.0,0.0,0.0,0.0,30
solar_323691,4,7,0.0,0.0,0.0,0.0,30
solar_323691,4,8,0.0,0.0,0.0,0.0,30
solar_323691,4,9,0.0,0.0,0.0,0.0,30
solar_323691,4,10,0.008648147896486937,0.02897949691936711,0.0,0.0,30
solar_323691,4,11,0.963066003057292,0.7363711757307582,1.0766610198998363,0.6618385952114743,30
solar_323691,4,12,4.621659939524111,3.3841993172850007,4.995955100057491,2.800326205059871,30
solar_323691,4,13,8.70779730596829,6.048016120078385,9.375629574307853,5.188703680544343,30
solar_323691,4,14,12.926239950921635,8.347330911534566,12.92037856348471,6.933533167665879,30
solar_323691,4,15,14.891760125545565,8.889766509576162,14.675882198406093,8.519440775028045,30
solar_323691,4,16,15.327661891693563,9.6769801171391,16.045506899233263,9.929431268687352,30
solar_323691,4,17,14.368319939663092,11.101154199414905,15.65473114330936,9.947016517375044,30
solar_323691,4,18,13.48854361653203,10.232151320931262,16.196280726831663,8.249889475282576,30
solar_323691,4,19,11.711465177964056,9.082323094947931,12.240132519262286,7.811885420425477,30
solar_323691,4,20,10.052104126833198,7.439783615222343,10.920433120394664,5.91344668200272,30
solar_323691,4,21,7.199801213091032,4.967744283506635,7.766560258581403,3.929720259779182,30
