site,month,hour,mu_a,sigma_a,mu_f,sigma_f,count
wind_24146,1,0,3.3108489495368474,4.0347622955573215,4.174559923082694,4.82936222691332,31
wind_24146,1,1,3.649978623830587,4.543405584690698,4.230550351594178,4.801967323858869,31
wind_24146,1,2,3.4293774460264994,4.491104651781167,3.894668542580576,4.679330445671869,31
wind_24146,1,3,3.3432124310121782,4.466913157536774,3.7772548503969916,4.512924194938627,31
wind_24146,1,4,3.5011413000628506,4.702157770839849,3.526277047471609,4.334732692307456,31
wind_24146,1,5,3.486215536952391,4.381029196300096,3.5233615075084654,4.339361664616897,31
wind_24146,1,6,3.3751730735066126,4.065581609417738,3.599732167781912,4.057711726405775,31
wind_24146,1,7,3.581578301232502,4.098266305028221,3.4201916449955205,4.073828841497749,31
wind_24146,1,8,2.9746781129874615,3.7546630381310884,2.957191969797856,3.617926731683663,31
wind_24146,1,9,2.485152659262419,3.456282127446196,2.9769282004197595,3.7252891308587577,31
wind_24146,1,10,2.2204707119416667,3.2815668376524982,2.4180912273027557,2.940574477246854,31
wind_24146,1,11,1.840742512511686,2.62310017832685,2.2231633742340478,2.8738530570273406,31
wind_24146,1,12,2.0847311962680837,3.055825413601814,2.4084048948723096,3.252585158125334,31
wind_24146,1,13,1.5827718583871215,2.5441655020558964,2.5428643268296427,3.4811997206505363,31
wind_24146,1,14,1.956794659358317,2.981615112231605,2.667930773092769,3.9078784937459994,31
wind_24146,1,15,2.306006472816492,3.5187025946050854,3.1052536733968226,4.1541276451913625,31
wind_24146,1,16,2.417838085300765,3.5918363625423413,3.238064273181521,4.059517475931264,31
wind_24146,1,17,2.6418145124951278,4.074427319343615,3.3953650502246324,4.211228435378321,31
wind_24146,1,18,2.664451573492667,3.8953314714596745,3.1288323658728245,3.7958180167840037,31
wind_24146,1,19,2.582236496536599,3.702236055389436,3.435533502741088,4.316714883828889,31
wind_24146,1,20,3.3032447187521736,4.396486752363319,3.5172514271220927,4.210908546690991,31
wind_24146,1,21,3.458489198456303,4.1794056054879025,3.4919867578117056,4.172271570467718,31
wind_24146,1,22,3.182546689173201,4.244265564986921,3.5204061660622883,4.2431253848511945,31
wind_24146,1,23,3.597887108749272,4.421880320147204,4.002459570482374,4.737820441337494,31
wind_24146,2,0,3.8502574720859712,4.846816268048235,4.1275112458552075,4.980451257368149,29
wind_24146,2,1,4.384405904537178,5.118699221749865,4.277453845514316,5.097367078120808,29
wind_24146,2,2,4.749373488956906,5.359223936824701,4.239233407615931,5.097887771162482,29
wind_24146,2,3,4.530202905093168,5.20607208975812,4.68305525067346,5.024453719392952,29
wind_24146,2,4,4.3625302718467545,5.12278749211881,5.102004412073021,5.207886692767767,29
wind_24146,2,5,4.492351665281265,5.189989476868639,5.081471449508511,5.0685455443070815,29
wind_24146,2,6,4.533615340062101,5.306356952309459,4.952289917849407,5.049032037994747,29
wind_24146,2,7,4.644115199641748,5.287025649234151,4.871465084132715,5.030740749699513,29
wind_24146,2,8,4.0506161443769475,4.7646973719966645,4.885574958189601,4.916894963197507,29
wind_24146,2,9,4.1820558646151405,4.847408641404438,4.705129982493134,4.926267392169251,29
wind_24146,2,10,4.390302313501929,5.08726363195343,4.636007573674366,4.817495879741817,29
wind_24146,2,11,3.7013966229452158,4.63344199156212,4.29570490438507,4.6034842166271845,29
wind_24146,2,12,3.630006549493542,4.647467463043945,4.1608309955080145,4.662577104428002,29
