site,month,hour,mu_a,sigma_a,mu_f,sigma_f,count
wind_24146,1,0,2.6644516129032256,3.04767137408076,3.15199816853469,3.8605235283493093,31
wind_24146,1,1,3.1102901935483867,3.7325735012086803,3.0413151316790423,3.7871674064141443,31
wind_24146,1,2,3.0068424516129033,3.8449407537332303,3.0487788153994155,3.727387390658116,31
wind_24146,1,3,2.934451161290322,3.769297296793157,3.0246764777191455,3.7626524414066123,31
wind_24146,1,4,3.1440612580645153,3.9753028581124394,2.860279915978613,3.7527433757301734,31
wind_24146,1,5,2.987501516129033,3.5428378062211263,2.748364044575334,3.7564937729439394,31
wind_24146,1,6,2.7115313548387103,2.953635751071568,2.602452700938505,3.470856979232148,31
wind_24146,1,7,2.754851516129033,2.8752426794269828,2.413429813195236,3.0147546741402835,31
wind_24146,1,8,2.336555709677419,2.605045064816758,2.5793863416560545,2.7817781889065656,31
wind_24146,1,9,2.0969909677419354,2.5848474922264497,2.252026087451952,2.51839779869034,31
wind_24146,1,10,1.7537736451612902,2.0130134059332465,2.03049589071251,2.512871754099077,31
wind_24146,1,11,1.514221548387097,1.6563127589686042,2.1344814372138576,2.4724379774770764,31
wind_24146,1,12,1.610722580645161,1.8645446830835455,1.8777965246822785,2.024129799616267,31
wind_24146,1,13,1.3618027741935483,1.5839868173688758,1.8816425450050482,2.2433361648210637,31
wind_24146,1,14,1.5681001935483874,1.802145116534578,2.1043941742132124,2.5239111180901603,31
wind_24146,1,15,1.8760532580645162,2.4761127216339185,2.3609900447315053,2.8684278486147745,31
wind_24146,1,16,1.9267743548387102,2.4313739126724014,2.5375120813864207,2.923811651498859,31
wind_24146,1,17,2.0823546451612907,2.885350005566356,2.7201004604915235,3.0639353835137055,31
wind_24146,1,18,2.2489831290322577,3.0011430556797714,2.680544387060669,2.908130641902559,31
wind_24146,1,19,2.209876451612903,2.9765440341460976,2.817193485067496,3.217917950072816,31
wind_24146,1,20,2.7578452903225807,3.4865618803746785,2.818468688339013,3.1569604581377404,31
wind_24146,1,21,2.817640483870968,3.2645777581157915,2.9957214318947805,3.2348879499142322,31
wind_24146,1,22,2.4283628064516125,2.9949897897228563,2.987765323849804,3.4600243142469926,31
wind_24146,1,23,2.811282838709677,3.215156029281732,3.2517935948902132,3.7574813145924986,31
wind_24146,2,0,3.160047275862069,3.9041789671086224,3.5933446410398915,4.065831430895717,29
wind_24146,2,1,3.6082232413793105,4.134699061770998,3.7435020165973514,4.269646497845523,29
wind_24146,2,2,4.009546379310344,4.369636415402875,3.8021207567845523,4.167504848552764,29
wind_24146,2,3,3.970918586206896,4.51352548752847,3.8195336993891726,4.3105221061019705,29
wind_24146,2,4,3.9859477931034486,4.630484961898131,3.751644997774235,4.296772669089063,29
wind_24146,2,5,3.8942561034482757,4.492923312692514,3.940148216308256,4.565289573605209,29
wind_24146,2,6,3.9268803448275866,4.456989373880994,3.8929938651900033,4.390876804578815,29
wind_24146,2,7,4.170857517241379,4.667946033851594,3.894528072081805,4.151768272087191,29
wind_24146,2,8,3.4491817586206897,4.0592758302503436,3.530640351763349,3.9996761820952687,29
wind_24146,2,9,3.4492652068965524,3.9411805379211335,3.5603303973252505,4.0543166855604955,29
wind_24146,2,10,3.5775741724137937,4.190701504683784,3.384437913293134,3.971173820858256,29
wind_24146,2,11,3.250857,4.1369847216776225,3.4607847233129663,4.21363963908573,29
wind_24146,2,12,3.2854358620689657,4.217239038799944,3.444212710106739,4.2478275789820374,29
wind_24146,2,13,3.4690881724137936,4.232533713611733,3.4228909759695716,4.244163276551271,29
wind_24146,2,14,2.9119076896551723,3.482113997128049,3.351980536598893,4.026236515547205,29
wind_24146,2,15,2.800619344827586,3.513027446423,3.398137239150586,4.053311364275859,29
wind_24146,2,16,2.6153909999999994,3.282668785675199,3.365818428296158,4.078785597236704,29
wind_24146,2,17,2.5217623448275863,3.017501205105716,3.259722252425102,3.8288428764761755,29
wind_24146,2,18,2.554494655172414,2.7718901844926696,3.3840386563053704,3.9759460540967653,29
wind_24146,2,19,3.061394517241379,3.1426683121489707,3.4390794658697272,3.8756378476543056,29
wind_24146,2,20,2.6557797586206897,2.9471292735679318,3.2927973358566676,3.6073618442050335,29
wind_24146,2,21,2.487479448275862,2.696093086094085,3.1588618829542705,3.2905265901669796,29
wind_24146,2,22,2.3939439310344826,2.8344884912095556,3.3913053952647694,3.4868631149409564,29
wind_24146,2,23,2.8391544482758624,3.2084424176492954,3.4785497578561784,3.6635594809181495,29
wind_24146,3,0,2.9999319999999994,3.265197580105906,3.6153080443092502,3.8313304192700457,31
wind_24146,3,1,3.4140504516129035,3.781754727062715,3.7861953074651034,3.6560712233045938,31
