site,month,hour,mu_a,sigma_a,mu_f,sigma_f,count
wind_24146,1,0,2.9018429677419353,3.312203569374228,3.0163187343171263,3.1156449705775997,62
wind_24146,1,1,2.9593753064516135,3.5429238184406096,3.058543802577166,3.277839801611262,62
wind_24146,1,2,2.717397774193548,3.4259002762077073,3.1375675781701116,3.3884490476090905,62
wind_24146,1,3,2.7053991935483874,3.4154050296564225,2.7939880782283817,3.1715811303445607,62
wind_24146,1,4,2.6615231129032253,3.3798353302940325,2.6637944570744407,3.316155922251666,62
wind_24146,1,5,2.6773878387096772,3.493611215319858,2.5045717527084026,3.1782761482004616,62
wind_24146,1,6,2.886566112903226,3.605249500905903,2.626270656711673,3.350492622218499,62
wind_24146,1,7,2.860967048387097,3.612176278123219,2.65416217519681,3.3083506718827222,62
wind_24146,1,8,2.9444744032258066,3.718517755889664,2.726165737163181,3.545287905277084,62
wind_24146,1,9,2.8626106935483873,3.624294969565179,2.9852590266455876,3.818462286425402,62
wind_24146,1,10,2.633096677419355,3.562416329927722,3.102291497046425,3.8905623840176897,62
wind_24146,1,11,2.762468032258065,3.697135279728444,3.042352712516904,3.885957373274823,62
wind_24146,1,12,2.7150264193548392,3.653100093909338,2.959977063690273,3.6819326714317935,62
wind_24146,1,13,2.7556412580645158,3.4925880871029165,3.1759925425289355,3.724839099068216,62
wind_24146,1,14,2.9020180645161293,3.5628482504455268,3.0576678586715973,3.5529742753781974,62
wind_24146,1,15,2.8883099677419355,3.5269075071655833,3.1821978431533737,3.680319104044487,62
wind_24146,1,16,2.869161258064516,3.1971661643316227,3.2139011473454384,3.530830733402125,62
wind_24146,1,17,2.7961386129032255,3.001786777320191,3.1285961915883784,3.460819582978568,62
wind_24146,1,18,2.70255535483871,2.870254679135937,3.2355145730048975,3.3534862314713663,62
wind_24146,1,19,2.7284679032258063,2.9293355235005523,3.099973695753849,3.3084647882082576,62
wind_24146,1,20,2.680932048387097,2.707398208152753,2.927168067664457,3.058171439165724,62
wind_24146,1,21,2.6112890322580653,2.6186613958937364,2.8579971430888786,2.907314627471665,62
wind_24146,1,22,2.512410661290322,2.55238263494617,2.8237252287657584,2.720879081644647,62
wind_24146,1,23,2.486949338709677,2.7112795146196493,2.925871357391063,2.994564805399804,62
wind_24146,2,0,3.8604756071428565,4.140819716821756,3.9890740943861305,4.261851875839818,56
wind_24146,2,1,3.963876803571428,4.166431399454355,4.082784265072188,4.2882331389695025,56
wind_24146,2,2,4.01249525,4.336613458109791,3.894600304555491,4.217961894473028,56
wind_24146,2,3,3.848344035714286,4.090441960737272,3.7867675940268017,4.0288491022413595,56
wind_24146,2,4,3.708368125,4.034723302995693,3.720575877950794,3.8812309934145057,56
wind_24146,2,5,3.865240875,3.9835032895765874,3.7808838379133536,4.051099282006369,56
wind_24146,2,6,3.9837690535714287,4.058731299540268,3.687208255207089,4.030732914963804,56
wind_24146,2,7,3.9437384285714288,4.167422656903084,3.7190387378853695,4.139968770412119,56
wind_24146,2,8,3.80362525,4.14690671005777,3.716824299271846,4.158882753526209,56
wind_24146,2,9,3.623861714285714,4.306660774166959,3.681553287278949,4.175263568830151,56
wind_24146,2,10,3.3641274821428575,4.024786393761908,3.508145655521768,4.012775909693374,56
wind_24146,2,11,3.297128142857143,3.851519087297546,3.703835788437296,3.9477597801018676,56
wind_24146,2,12,3.5029564285714287,3.878079693747629,3.872201692480059,3.983688090642211,56
wind_24146,2,13,3.6524396071428566,3.9705713301950603,3.930517907822528,4.029633763049904,56
wind_24146,2,14,3.680667160714286,4.035446079633665,3.9489781840521516,4.056180870802721,56
wind_24146,2,15,3.522283607142857,3.880556811498594,4.155398309256648,4.0003453062616074,56
wind_24146,2,16,3.8779310714285713,3.9928700027809105,4.452801156503469,4.0146571854419815,56
wind_24146,2,17,3.937625232142857,3.847035232714961,4.534167484467245,4.093214925356037,56
wind_24146,2,18,4.179533196428571,4.1479358589019695,4.605028980849696,4.200142825477203,56
wind_24146,2,19,4.572629196428571,4.240102475930314,4.797143526972694,4.276069331514397,56
wind_24146,2,20,4.500593785714286,4.277449464050203,4.971814081510987,4.405504344334107,56
wind_24146,2,21,4.263258107142858,4.213682838203618,4.858116163176751,4.2952690034161245,56
wind_24146,2,22,3.868518267857143,3.918930085420595,4.851139029678378,4.399194736841199,56
wind_24146,2,23,3.709710535714286,4.038672111695765,4.691265413915419,4.5198027637101585,56
wind_24146,3,0,3.908076709677419,4.188806409819806,4.082738213587827,4.082154254639418,62
wind_24146,3,1,4.274298370967741,4.547893141525783,4.292584979183155,4.061697761059381,62
wind_24146,3,2,4.299523725806451,4.268805841992571,4.363194527048521,4.013183526609546,62
wind_24146,3,3,4.568519854838709,4.199339111907327,4.442710094247084,4.002494095005433,62
wind_24146,3,4,4.322115758064516,4.341779100246605,4.515728534520338,3.997132374417881,62
wind_24146,3,5,4.50511514516129,4.139968564289652,4.593724895683993,4.031526590648043,62
wind_24146,3,6,4.374562580645162,4.095984085216426,4.360475922337211,3.9621342348535946,62
wind_24146,3,7,4.326268112903226,4.163175479453355,4.466313560306967,4.057472938241634,62
wind_24146,3,8,4.36672385483871,4.103647093302113,4.312164622941499,3.990195487458277,62
wind_24146,3,9,4.067977387096774,3.9932429777274,4.382521003703263,3.959404517374272,62
wind_24146,3,10,4.066440403225807,3.9856773107729726,4.139937660547131,3.892149017255477,62
wind_24146,3,11,3.518896322580645,3.6711283216685144,3.8745593450781435,3.845879047174195,62
wind_24146,3,12,3.693895822580645,3.844504603243327,3.983236519578112,3.9610927278011787,62
wind_24146,3,13,3.7706536935483865,3.815887914315823,4.293082980797372,4.025775212915031,62
wind_24146,3,14,3.780652870967742,3.7179412304415105,4.515752923106156,4.10346149153161,62
