Time,CAPITL,CENTRL,DUNWOD,GENESE,HUD VL,LONGIL,MHK VL,MILLWD,N.Y.C.,NORTH,WEST,NYCA
2018-01-01 05:00:00+00:00,1609.3,2067.2,695.9,1152.2,1284.7,2596.1,1076.0,400.9,6073.3,664.0,1846.9,19466.500000000004
2018-01-01 06:00:00+00:00,1562.3,2024.2,668.0,1118.2,1228.1,2482.9,1041.8,394.8,5905.7,661.3,1794.2,18881.5
2018-01-01 07:00:00+00:00,1540.9,1986.2,644.2,1091.1,1192.0,2384.0,1026.7,390.1,5744.7,654.4,1765.6,18419.9
2018-01-01 08:00:00+00:00,1529.8,1958.1,619.6,1072.8,1190.7,2327.2,1016.1,377.4,5625.7,656.5,1763.7,18137.6
2018-01-01 09:00:00+00:00,1528.9,1926.6,612.7,1072.7,1190.2,2309.9,1019.6,379.5,5572.0,660.0,1745.9,18018.0
2018-01-01 10:00:00+00:00,1533.4,1964.1,625.1,1093.4,1203.0,2327.3,1040.2,384.9,5595.4,663.2,1759.7,18189.7
2018-01-01 11:00:00+00:00,1575.0,2027.7,637.0,1130.4,1226.6,2371.9,1072.6,397.1,5721.3,674.9,1808.0,18642.5
2018-01-01 12:00:00+00:00,1613.4,2085.4,647.8,1167.0,1243.4,2386.4,1112.2,407.3,5811.4,678.0,1858.7,19011.000000000004
2018-01-01 13:00:00+00:00,1674.1,2134.0,659.7,1184.0,1285.9,2449.5,1162.0,421.4,5969.1,694.0,1879.1,19512.8
2018-01-01 14:00:00+00:00,1731.2,2202.7,680.8,1222.3,1331.1,2542.2,1196.9,424.6,6148.2,690.5,1924.9,20095.4
2018-01-01 15:00:00+00:00,1765.4,2235.7,711.8,1247.9,1361.1,2625.8,1221.9,437.1,6300.9,661.2,1955.1,20523.899999999998
2018-01-01 16:00:00+00:00,1775.4,2213.0,722.4,1263.8,1366.8,2671.3,1222.8,435.3,6455.7,657.2,1961.1,20744.8
2018-01-01 17:00:00+00:00,1777.8,2184.9,741.5,1273.4,1371.7,2688.5,1210.2,431.8,6526.0,655.8,1968.6,20830.199999999997
2018-01-01 18:00:00+00:00,1767.6,2174.9,735.1,1266.8,1353.7,2683.5,1192.2,430.9,6556.4,642.5,1975.2,20778.8
2018-01-01 19:00:00+00:00,1753.1,2192.3,739.8,1262.7,1343.7,2695.4,1173.2,435.1,6578.9,640.6,1970.3,20785.099999999995
2018-01-01 20:00:00+00:00,1758.7,2235.0,748.8,1286.4,1372.3,2746.2,1180.6,429.6,6628.7,643.5,1984.9,21014.7
2018-01-01 21:00:00+00:00,1859.7,2354.4,795.3,1363.4,1446.7,2949.3,1227.8,463.2,6806.7,659.8,2055.2,21981.5
2018-01-01 22:00:00+00:00,1980.6,2519.4,859.1,1495.4,1560.5,3232.4,1311.5,512.9,7081.9,679.0,2202.2,23434.899999999998
2018-01-01 23:00:00+00:00,1969.2,2511.3,868.8,1483.4,1559.0,3242.6,1307.6,522.6,7081.9,681.9,2206.6,23434.9
2018-01-02 00:00:00+00:00,1945.2,2469.6,860.1,1451.8,1537.8,3187.2,1280.9,517.8,7024.2,680.5,2193.3,23148.4
2018-01-02 01:00:00+00:00,1885.9,2426.3,841.1,1404.7,1499.7,3104.1,1240.5,498.5,6905.9,693.9,2150.1,22650.7
2018-01-02 02:00:00+00:00,1798.3,2314.2,797.7,1334.9,1437.6,2958.9,1172.8,466.0,6725.4,684.9,2067.9,21758.600000000006
2018-01-02 03:00:00+00:00,1686.7,2168.4,736.9,1237.5,1336.3,2738.0,1085.6,429.1,6433.3,658.6,1956.0,20466.399999999998
2018-01-02 04:00:00+00:00,1593.1,2066.1,680.0,1145.2,1254.4,2522.8,1028.2,392.6,6089.4,662.9,1841.2,19275.9
2018-01-02 05:00:00+00:00,1542.0,1990.3,643.8,1097.8,1184.8,2372.2,986.0,385.2,5801.4,652.4,1783.4,18439.3
2018-01-02 06:00:00+00:00,1516.8,1950.2,625.0,1068.7,1163.1,2278.7,973.1,359.4,5582.1,647.4,1743.8,17908.3
2018-01-02 07:00:00+00:00,1505.0,1947.1,606.2,1058.4,1151.8,2246.0,966.6,353.3,5465.1,646.4,1729.5,17675.4
2018-01-02 08:00:00+00:00,1505.2,1944.0,597.4,1057.6,1148.7,2235.6,973.5,353.7,5415.7,648.2,1728.5,17608.100000000002
2018-01-02 09:00:00+00:00,1532.9,1981.7,607.5,1087.8,1162.9,2267.4,995.2,361.4,5463.9,656.9,1763.5,17881.1
2018-01-02 10:00:00+00:00,1605.2,2094.7,647.0,1163.3,1226.9,2386.0,1040.4,379.0,5723.2,672.7,1844.5,18782.9
2018-01-02 11:00:00+00:00,1756.0,2274.6,710.3,1281.9,1326.8,2642.0,1141.5,424.5,6219.0,700.2,1979.0,20455.8
2018-01-02 12:00:00+00:00,1840.2,2379.5,774.9,1367.9,1393.4,2797.9,1204.6,441.9,6705.3,717.4,2107.7,21730.7
2018-01-02 13:00:00+00:00,1848.5,2389.8,802.2,1381.5,1401.1,2826.8,1247.5,437.2,7007.5,713.9,2142.9,22198.9
2018-01-02 14:00:00+00:00,1863.4,2405.9,816.1,1404.9,1400.6,2821.0,1272.5,435.7,7230.3,708.7,2173.9,22533.000000000004
2018-01-02 15:00:00+00:00,1847.7,2421.2,818.9,1414.7,1395.1,2813.2,1277.3,431.0,7336.9,706.1,2197.5,22659.6
2018-01-02 16:00:00+00:00,1833.3,2410.2,811.2,1414.1,1394.1,2782.0,1274.3,417.8,7360.1,702.1,2211.1,22610.299999999996
2018-01-02 17:00:00+00:00,1836.9,2369.9,806.8,1407.9,1379.7,2738.2,1250.1,417.4,7337.6,699.3,2204.1,22447.899999999998
2018-01-02 18:00:00+00:00,1837.5,2341.0,799.7,1391.0,1377.6,2714.4,1246.0,419.1,7304.4,695.5,2192.2,22318.399999999998
2018-01-02 19:00:00+00:00,1821.0,2328.5,798.5,1367.6,1372.2,2715.7,1228.9,417.3,7272.7,691.9,2127.6,22141.9
2018-01-02 20:00:00+00:00,1820.5,2325.7,821.1,1368.4,1377.9,2779.8,1228.5,424.0,7299.6,690.0,2085.4,22220.9
2018-01-02 21:00:00+00:00,1902.6,2391.7,849.1,1417.5,1445.6,2984.7,1281.4,453.1,7457.2,687.2,2151.6,23021.699999999997
2018-01-02 22:00:00+00:00,2017.0,2562.7,911.6,1544.5,1557.8,3281.0,1378.6,500.2,7668.9,680.1,2316.3,24418.699999999997
2018-01-02 23:00:00+00:00,2014.5,2555.9,920.7,1544.4,1577.6,3315.5,1388.3,515.3,7595.6,709.7,2333.3,24470.800000000003
2018-01-03 00:00:00+00:00,1972.2,2510.2,912.3,1505.2,1563.1,3257.4,1356.1,511.2,7477.2,701.9,2301.3,24068.100000000002
2018-01-03 01:00:00+00:00,1902.9,2437.3,883.2,1454.8,1524.5,3165.4,1307.3,493.3,7293.0,686.5,2240.3,23388.5
2018-01-03 02:00:00+00:00,1798.4,2312.1,839.0,1374.0,1450.3,3000.5,1234.6,464.7,7050.3,667.1,2154.1,22345.1
2018-01-03 03:00:00+00:00,1678.0,2190.5,763.7,1284.2,1349.1,2760.9,1137.2,423.8,6657.3,642.7,2063.6,20951.0
2018-01-03 04:00:00+00:00,1571.9,2075.2,693.7,1192.3,1257.9,2521.1,1053.1,386.0,6205.4,627.3,1935.2,19519.1
2018-01-03 05:00:00+00:00,1508.6,1998.0,654.8,1134.2,1194.7,2354.6,1007.6,365.6,5840.9,614.5,1847.3,18520.8
2018-01-03 06:00:00+00:00,1476.4,1983.4,637.6,1112.6,1170.9,2259.5,976.1,352.9,5585.2,607.5,1790.4,17952.5
2018-01-03 07:00:00+00:00,1462.0,1965.6,624.8,1099.3,1159.6,2206.0,975.1,351.0,5444.3,603.8,1759.8,17651.3
2018-01-03 08:00:00+00:00,1465.2,1954.7,622.7,1100.9,1162.8,2198.3,961.3,355.9,5392.0,603.1,1755.2,17572.1
2018-01-03 09:00:00+00:00,1493.5,1999.1,630.7,1125.4,1182.6,2235.0,982.1,359.1,5434.0,608.3,1782.5,17832.3
2018-01-03 10:00:00+00:00,1563.6,2115.6,668.3,1187.7,1231.8,2350.9,1032.7,393.3,5685.9,621.5,1855.5,18706.8
2018-01-03 11:00:00+00:00,1722.4,2312.5,745.2,1305.9,1339.9,2590.6,1149.0,431.2,6191.0,648.1,2002.7,20438.5
2018-01-03 12:00:00+00:00,1797.2,2389.2,810.7,1391.1,1397.6,2744.7,1217.8,453.6,6691.9,655.3,2109.8,21658.899999999994
2018-01-03 13:00:00+00:00,1796.0,2378.8,822.3,1394.8,1405.3,2747.5,1236.6,448.6,6967.8,658.5,2106.7,21962.9
2018-01-03 14:00:00+00:00,1795.9,2355.9,822.6,1404.3,1370.1,2703.9,1232.4,442.1,7136.1,630.6,2110.4,22004.300000000003
2018-01-03 15:00:00+00:00,1757.7,2338.8,816.9,1418.5,1384.2,2653.8,1215.6,419.4,7196.8,623.0,2112.1,21936.8
2018-01-03 16:00:00+00:00,1733.8,2323.9,800.8,1401.4,1371.0,2599.4,1189.2,407.3,7187.2,642.9,2088.2,21745.100000000002
2018-01-03 17:00:00+00:00,1709.9,2289.2,793.0,1348.8,1344.3,2599.6,1159.0,406.1,7180.9,648.7,2047.0,21526.5
2018-01-03 18:00:00+00:00,1697.8,2287.7,788.2,1331.7,1331.6,2570.9,1150.3,397.0,7139.0,647.7,2064.7,21406.600000000002
2018-01-03 19:00:00+00:00,1689.8,2260.7,785.0,1317.5,1313.0,2592.3,1138.5,402.2,7093.2,635.7,2052.9,21280.800000000003
2018-01-03 20:00:00+00:00,1705.7,2246.7,793.4,1310.8,1333.8,2655.9,1130.7,403.5,7129.6,648.8,2042.6,21401.499999999996
2018-01-03 21:00:00+00:00,1805.6,2326.3,831.4,1350.3,1412.7,2864.0,1166.5,424.7,7287.4,660.9,2082.7,22212.500000000004
2018-01-03 22:00:00+00:00,1938.1,2493.6,887.5,1443.7,1504.1,3135.1,1248.5,475.3,7459.0,673.3,2201.7,23459.9
2018-01-03 23:00:00+00:00,1952.4,2528.6,892.9,1441.5,1519.8,3180.0,1260.0,504.3,7353.1,673.3,2225.1,23530.999999999996
2018-01-04 00:00:00+00:00,1920.8,2505.2,881.5,1413.2,1504.6,3132.8,1248.0,500.7,7204.9,630.1,2209.2,23150.999999999996
2018-01-04 01:00:00+00:00,1863.7,2445.9,856.1,1372.3,1473.3,3058.2,1214.3,480.6,7005.1,622.7,2164.1,22556.3
2018-01-04 02:00:00+00:00,1764.9,2328.3,822.9,1295.9,1414.7,2919.3,1153.7,448.9,6754.6,634.2,2080.8,21618.2
2018-01-04 03:00:00+00:00,1645.5,2180.3,759.2,1194.5,1333.7,2711.9,1073.4,403.4,6423.4,623.0,1959.4,20307.700000000004
2018-01-04 04:00:00+00:00,1538.4,2090.9,697.7,1110.0,1254.4,2474.6,1017.3,372.0,6011.9,611.3,1837.2,19015.699999999997
2018-01-04 05:00:00+00:00,1482.6,2024.4,648.1,1051.3,1156.6,2285.7,969.2,340.5,5654.8,605.2,1756.7,17975.100000000002
2018-01-04 06:00:00+00:00,1460.1,1977.0,616.4,1022.1,1119.6,2170.0,941.6,326.8,5417.5,600.1,1712.3,17363.5
2018-01-04 07:00:00+00:00,1445.1,1940.4,598.2,1008.6,1097.3,2103.2,927.9,319.0,5245.9,597.5,1698.0,16981.1
2018-01-04 08:00:00+00:00,1449.3,1913.9,592.1,1009.7,1095.7,2092.0,935.6,311.6,5179.1,598.2,1693.0,16870.2
2018-01-04 09:00:00+00:00,1477.3,1938.7,598.7,1035.4,1101.0,2119.2,959.1,315.9,5230.9,605.1,1716.8,17098.1
2018-01-04 10:00:00+00:00,1550.8,2082.9,630.5,1104.9,1150.5,2198.5,1006.2,333.5,5479.4,620.5,1796.3,17954.0
2018-01-04 11:00:00+00:00,1693.7,2286.1,687.3,1228.4,1225.4,2319.4,1099.4,365.6,5860.2,646.6,1945.3,19357.399999999998
2018-01-04 12:00:00+00:00,1771.6,2384.8,749.6,1319.6,1297.1,2440.4,1170.0,398.0,6290.5,659.1,2061.7,20542.399999999998
2018-01-04 13:00:00+00:00,1783.2,2379.2,783.6,1326.5,1355.0,2550.8,1191.1,417.9,6667.9,656.6,2079.2,21190.999999999996
2018-01-04 14:00:00+00:00,1799.7,2408.9,813.2,1346.0,1403.5,2695.4,1208.5,444.5,6977.3,621.9,2107.0,21825.9
2018-01-04 15:00:00+00:00,1824.3,2438.5,833.9,1360.7,1447.9,2797.6,1234.8,459.1,7156.2,621.3,2130.1,22304.399999999998
2018-01-04 16:00:00+00:00,1841.2,2441.4,836.1,1364.6,1474.3,2854.2,1239.7,463.4,7261.9,620.3,2128.3,22525.4
2018-01-04 17:00:00+00:00,1831.1,2422.7,845.2,1357.9,1476.4,2894.9,1215.0,456.1,7276.6,620.0,2119.5,22515.4
2018-01-04 18:00:00+00:00,1820.8,2420.1,827.5,1355.7,1476.9,2897.9,1200.5,454.4,7258.1,614.0,2120.4,22446.300000000003
2018-01-04 19:00:00+00:00,1799.9,2402.1,817.5,1351.7,1461.7,2884.6,1185.7,456.6,7201.6,611.4,2101.8,22274.600000000002
2018-01-04 20:00:00+00:00,1799.5,2398.8,816.3,1348.3,1447.7,2886.9,1199.0,437.6,7163.5,622.0,2086.4,22206.0
2018-01-04 21:00:00+00:00,1867.7,2442.4,832.1,1385.3,1477.3,3014.1,1260.5,449.2,7240.3,626.4,2126.4,22721.7
2018-01-04 22:00:00+00:00,1962.0,2576.2,890.9,1473.3,1577.6,3227.4,1336.3,482.7,7416.7,661.1,2253.0,23857.199999999997
2018-01-04 23:00:00+00:00,1961.3,2592.3,888.6,1479.0,1579.1,3225.0,1342.0,479.9,7340.8,681.7,2276.5,23846.2
2018-01-05 00:00:00+00:00,1927.1,2556.8,869.1,1456.0,1546.4,3126.3,1316.4,463.0,7204.5,678.9,2258.5,23403.0
2018-01-05 01:00:00+00:00,1857.7,2468.5,841.8,1421.5,1475.1,3016.5,1283.8,457.4,7015.6,668.6,2215.6,22722.1
2018-01-05 02:00:00+00:00,1757.4,2366.0,814.4,1355.1,1409.4,2861.2,1225.2,432.4,6777.6,657.0,2145.5,21801.2
2018-01-05 03:00:00+00:00,1643.6,2248.7,760.1,1266.3,1316.1,2675.2,1135.6,402.2,6473.6,637.3,2062.1,20620.8
2018-01-05 04:00:00+00:00,1552.0,2181.1,707.9,1189.2,1238.4,2477.4,1067.9,371.8,6120.7,631.0,1936.7,19474.100000000002
2018-01-05 05:00:00+00:00,1512.4,2118.8,645.8,1148.0,1186.5,2340.1,1040.5,342.5,5810.2,632.7,1867.3,18644.8
2018-01-05 06:00:00+00:00,1486.8,2085.7,622.4,1119.2,1157.1,2265.0,1021.7,338.0,5621.1,633.6,1825.3,18175.9
2018-01-05 07:00:00+00:00,1485.3,2076.4,611.1,1111.8,1149.5,2231.8,1018.8,337.7,5509.6,633.0,1803.1,17968.100000000002
2018-01-05 08:00:00+00:00,1493.4,2086.9,610.0,1114.7,1158.3,2224.2,1019.0,338.6,5476.5,632.4,1796.6,17950.6
2018-01-05 09:00:00+00:00,1522.3,2133.4,619.3,1138.7,1175.6,2271.8,1043.5,349.9,5533.0,639.8,1830.1,18257.399999999998
2018-01-05 10:00:00+00:00,1594.8,2238.4,655.9,1195.7,1230.8,2378.8,1108.1,371.8,5772.3,658.9,1899.8,19105.3
2018-01-05 11:00:00+00:00,1714.4,2369.3,724.7,1282.8,1318.2,2550.8,1193.0,406.4,6205.3,679.9,2012.5,20457.300000000003
2018-01-05 12:00:00+00:00,1814.8,2441.2,778.4,1350.2,1388.9,2689.1,1246.3,429.1,6652.0,689.8,2109.0,21588.8
2018-01-05 13:00:00+00:00,1859.4,2499.0,806.5,1385.4,1438.3,2787.2,1287.4,437.6,6994.8,695.8,2158.0,22349.399999999998
2018-01-05 14:00:00+00:00,1861.3,2541.7,821.6,1424.6,1454.1,2864.2,1305.8,440.8,7275.3,702.0,2195.7,22887.1
2018-01-05 15:00:00+00:00,1860.7,2580.2,831.8,1450.0,1464.1,2887.4,1316.4,440.9,7427.6,704.6,2221.2,23184.899999999998
2018-01-05 16:00:00+00:00,1854.2,2579.6,843.9,1454.5,1458.3,2906.2,1319.3,441.9,7502.3,709.2,2222.4,23291.800000000003
2018-01-05 17:00:00+00:00,1846.9,2604.8,837.7,1455.8,1448.0,2912.9,1309.4,438.7,7517.7,709.4,2209.2,23290.500000000004
2018-01-05 18:00:00+00:00,1836.7,2584.9,835.7,1442.9,1441.5,2922.3,1309.6,438.4,7501.9,711.9,2199.1,23224.9
2018-01-05 19:00:00+00:00,1829.3,2582.8,833.0,1432.9,1440.1,2947.4,1306.9,439.7,7484.7,711.7,2181.6,23190.1
2018-01-05 20:00:00+00:00,1839.4,2577.1,845.8,1424.2,1463.5,3003.5,1301.8,445.2,7517.9,712.7,2168.7,23299.800000000003
2018-01-05 21:00:00+00:00,1912.0,2634.1,879.3,1447.5,1521.4,3168.2,1341.1,475.4,7641.1,724.4,2198.8,23943.3
2018-01-05 22:00:00+00:00,2012.4,2765.7,933.4,1533.2,1637.5,3425.1,1397.5,506.0,7822.0,735.0,2312.7,25080.500000000004
2018-01-05 23:00:00+00:00,2006.2,2747.4,933.3,1519.4,1636.1,3441.3,1410.9,521.8,7742.7,729.0,2324.0,25012.1
2018-01-06 00:00:00+00:00,1975.1,2692.9,925.3,1483.9,1615.9,3371.0,1389.9,520.5,7619.5,726.2,2294.9,24615.100000000002
2018-01-06 01:00:00+00:00,1930.9,2619.9,897.1,1439.2,1586.3,3304.6,1351.6,503.1,7450.4,715.9,2248.4,24047.4
2018-01-06 02:00:00+00:00,1851.9,2511.3,866.4,1368.8,1527.3,3179.6,1294.5,486.5,7230.7,707.9,2181.1,23206.0
2018-01-06 03:00:00+00:00,1758.6,2394.6,820.6,1289.5,1449.7,2998.5,1232.2,460.5,6949.8,689.5,2085.2,22128.7
2018-01-06 04:00:00+00:00,1665.9,2283.4,766.4,1214.3,1363.9,2797.6,1161.0,430.2,6601.6,678.3,1978.2,20940.800000000003
2018-01-06 05:00:00+00:00,1605.3,2209.2,719.2,1158.5,1307.9,2634.8,1104.1,408.2,6252.3,672.0,1899.9,19971.4
2018-01-06 06:00:00+00:00,1565.1,2170.1,695.9,1126.5,1270.4,2523.4,1080.4,393.5,6010.2,668.2,1842.0,19345.7
2018-01-06 07:00:00+00:00,1543.1,2127.9,675.8,1115.7,1248.6,2459.4,1067.2,387.9,5850.2,664.6,1815.9,18956.3
2018-01-06 08:00:00+00:00,1537.5,2136.6,665.8,1110.7,1241.1,2436.7,1066.2,386.8,5753.1,665.8,1800.9,18801.2
2018-01-06 09:00:00+00:00,1551.2,2145.4,664.3,1115.9,1246.7,2440.2,1071.2,387.9,5728.3,667.1,1808.3,18826.499999999996
2018-01-06 10:00:00+00:00,1579.6,2179.8,679.9,1140.7,1269.1,2477.7,1086.9,400.8,5788.2,676.6,1837.7,19117.0
2018-01-06 11:00:00+00:00,1639.8,2257.3,704.4,1180.0,1306.4,2566.6,1133.0,415.1,5968.7,687.2,1906.1,19764.6
2018-01-06 12:00:00+00:00,1696.4,2338.3,737.4,1235.5,1349.0,2663.4,1176.0,430.5,6178.7,697.6,1980.2,20483.0
2018-01-06 13:00:00+00:00,1759.7,2420.1,764.5,1281.3,1402.2,2769.9,1229.9,446.4,6435.3,709.5,2031.3,21250.1
2018-01-06 14:00:00+00:00,1806.8,2467.8,789.0,1320.6,1437.1,2853.7,1258.5,456.0,6679.2,721.1,2066.9,21856.7
2018-01-06 15:00:00+00:00,1828.1,2505.0,811.5,1348.5,1446.2,2872.5,1277.2,460.4,6871.5,718.1,2086.6,22225.6
2018-01-06 16:00:00+00:00,1826.1,2507.1,822.4,1352.7,1443.8,2880.9,1275.3,462.3,6994.3,731.0,2082.2,22378.1
2018-01-06 17:00:00+00:00,1810.4,2482.3,817.2,1336.2,1435.8,2866.5,1264.4,442.5,7032.1,726.2,2053.9,22267.500000000004
2018-01-06 18:00:00+00:00,1800.8,2421.5,812.3,1324.4,1414.3,2853.9,1246.9,451.1,7036.4,721.3,2047.5,22130.399999999998
