owner_station_unit,zone,ptid,town,county_fips,state_fips,cod,plate_mw,cris_mw,sum_cap,win_cap,sum_2024,win_2024,dual,unit_type,fuel1,fuel2,energy_gwh,notes
Galt Power Inc. Puckett Solar,C,323809,Greene,017,36,2022-09-27,20.0,,20.0,20.0,20.0,20.0,False,PV,SUN,,31.6,
Galt Power Inc. Janis Solar,C,323808,Willet,023,36,2023-02-23,20.0,,20.0,20.0,20.0,20.0,False,PV,SUN,,32.2,
Galt Power Inc. Morris Ridge Solar,C,323848,Mt Morris,051,36,2024-09-19,179.0,,179.0,179.0,179.0,179.0,False,PV,SUN,,,
Galt Power Inc. Branscomb Solar,F,323811,Easton,115,36,2021-12-18,20.0,,20.0,20.0,20.0,20.0,False,PV,SUN,,31.7,
Galt Power Inc. Darby Solar,F,323810,Easton,115,36,2023-07-01,20.0,,20.0,20.0,20.0,20.0,False,PV,SUN,,32.0,
Galt Power Inc. Regan Solar,F,323812,Greene,057,36,2022-12-28,20.0,,20.0,20.0,20.0,20.0,False,PV,SUN,,31.5,
Galt Power Inc. Grissom Solar,F,323813,Mohawk,057,36,2023-02-23,20.0,,20.0,20.0,20.0,20.0,False,PV,SUN,,24.3,
Galt Power Inc. Stillwater Solar,F,323814,Stillwater,091,36,2024-02-01,20.0,,20.0,20.0,20.0,20.0,False,PV,SUN,,34.4,
Galt Power Inc. Pattersonville Solar,F,323815,Schenectady,093,36,2024-02-24,20.0,,20.0,20.0,20.0,20.0,False,PV,SUN,,33.7,
Hecate Energy Albany 1 LLC Albany County Solar 1,F,323833,Colonie,001,36,2024-02-15,20.0,,20.0,20.0,20.0,20.0,False,PV,SUN,,29.7,
Hecate Energy Albany 2 LLC Albany County Solar 2,F,323834,Colonie,001,36,2024-02-15,20.0,,20.0,20.0,20.0,20.0,False,PV,SUN,,28.3,
"NextEra Energy Marketing, LLC East Point Solar",F,323840,Sharon Springs,095,36,2024-04-25,50.0,,50.0,50.0,50.0,50.0,False,PV,SUN,,50.7,
"NextEra Energy Marketing, LLC High River Solar",F,323847,Florida,057,36,2024-07-03,90.0,,90.0,90.0,90.0,90.0,False,PV,SUN,,49.9,
Long Island Power Authority Long Island Solar Farm,K,323691,Upton,103,36,2011-11-01,31.5,,31.5,31.5,31.5,31.5,False,PV,SUN,,49.5,
Long Island Power Authority Calverton Solar,K,323806,Riverhead,103,36,2022-06-02,22.9,,22.9,22.9,22.9,22.9,False,PV,SUN,,43.7,
Shoreham Solar Commons LLC Shoreham Solar,K,323752,East Shoreham,103,36,2018-07-01,25.0,,0.0,0.0,0.0,0.0,False,PV,SUN,,0.0,
