queue_pos,developer_project,zone,cod,plate_mw,sum_cris,win_cris,sum_eris,win_eris,project_type,class_year,min_duration_hr,notes
522,NYC Energy LLC NYC Energy,J,Jun-27,79.9,79.9,79.9,79.9,79.9,Energy Storage,2023.0,4.0,(2)
683,"KCE NY 2, LLC KCE NY 2",G,Jun-27,200.0,200.0,200.0,200.0,200.0,Energy Storage,2019.0,4.0,(2) (13)
787,"Levy Grid, LLC Levy Grid, LLC",A,Aug-25,150.0,150.0,150.0,150.0,150.0,Energy Storage,2021.0,2.0,(2)
804,"KCE NY 10, LLC KCE NY 10",A,Oct-26,20.0,20.0,20.0,20.0,20.0,Energy Storage,,4.0,(2) (16)
815,Bayonne Energy Center Bayonne Energy Center III,J,Sep-26,49.8,49.8,49.8,49.8,49.8,Energy Storage,2021.0,4.0,(2)
827,GB Arthur Kill Storage LLC Arthur Kill Energy Storage 1,J,Sep-25,15.0,15.0,15.0,15.0,15.0,Energy Storage,,4.0,(2) (13)
834,"Astoria Generating Company, LP Luyster Creek Energy Storage 2",J,May-27,97.0,79.0,79.0,79.0,79.0,Energy Storage,2023.0,4.0,(2)
835,"Astoria Generating Company, LP Luyster Creek Energy Storage 1",J,Jan-27,59.1,56.3,56.3,56.3,57.3,Energy Storage,2021.0,4.0,(2)
907,"Harlem River ESS, LLC Harlem River Yard",J,Jan-28,100.0,79.9,79.9,79.9,79.9,Energy Storage,2021.0,4.0,(2)
930,"Astoria Generating Company, LP Astoria BES to 27kV North Queens",J,Dec-25,15.0,0.0,0.0,15.0,15.0,Energy Storage,,4.0,(2) (15)
931,"East River ESS, LLC Astoria Energy Storage",J,Mar-26,106.7,100.0,100.0,100.0,100.0,Energy Storage,2021.0,4.0,(2)
956,"Holtsville Energy Storage, LLC Holtsville 138kV Energy Storage",K,Sep-26,300.9,110.0,110.0,110.0,110.0,Energy Storage,2021.0,8.0,(2)
967,KCE NY 5 LLC KCE NY 5,G,Dec-27,94.0,94.0,94.0,94.0,94.0,Energy Storage,2023.0,4.0,(2)
971,"Savion, LLC East Setauket Energy Storage",K,Apr-27,126.8,54.5,54.5,125.0,125.0,Energy Storage,2023.0,8.0,(2)
1007,NYC Energy NYC Energy LLC - Phase 2,J,Jun-27,220.1,220.1,220.1,220.1,220.1,Energy Storage,2023.0,4.0,(2)
1113,"Caithness LI Energy Storage, LLC CLIES 20 MW",K,Dec-27,20.0,20.0,20.0,20.0,20.0,Energy Storage,,6.0,(2) (3)
1117,"Caithness LI Energy Storage, LLC CLIES 70MW",K,Dec-27,70.0,30.4,30.4,70.0,70.0,Energy Storage,2023.0,6.0,(2)
1122,"Microgrid Networks, LLC East Fishkill",G,Nov-28,252.0,205.0,205.0,205.0,205.0,Energy Storage,2023.0,4.0,(2)
1123,"KCE NY 29, LLC KCE NY 29",K,Oct-27,150.0,150.0,150.0,150.0,150.0,Energy Storage,2023.0,4.0,(2)
1237,Sugar Maple Solar Sugar Maple Energy Storage,E,Dec-26,20.0,,,,,Energy Storage,,4.0,(2)
1254,Barrett Hempstead Battery Storage LLC Barrett Hemptead Battery Storage,K,Mar-26,41.4,40.0,40.0,40.0,40.0,Energy Storage,2023.0,2.0,(2)
1255,Holtsville Brookhaven Battery Storage LLC Holtsville Brookhaven Battery Storage,K,Mar-26,82.8,39.9,39.9,79.9,79.9,Energy Storage,2023.0,2.0,(2)
1257,Edwards Calverton Battery Storage LLC Edwards Calverton Battery Storage,K,Mar-26,62.1,26.5,26.5,60.0,60.0,Energy Storage,2023.0,2.0,(2)
