queue_pos,developer_project,zone,cod,plate_mw,sum_cris,win_cris,sum_eris,win_eris,project_type,class_year,min_duration_hr,notes
519,Canisteo Wind Energy LLC Canisteo Wind,C,Dec-27,289.8,290.7,290.7,289.8,289.8,Land-Based Wind,2019.0,,(2)
521,Bull Run Energy LLC Bull Run II Wind,D,Dec-26,449.0,449.0,449.0,449.0,449.0,Land-Based Wind,2021.0,,(2)
571,"Heritage Wind, LLC Heritage Wind",B,Sep-26,200.1,200.1,200.1,200.1,200.1,Land-Based Wind,2021.0,,(2)
596,Alle-Catt Wind Energy LLC Alle Catt II Wind,A,Dec-26,339.1,339.1,339.1,339.1,339.1,Land-Based Wind,2019.0,,(2)
706,"High Bridge Wind, LLC High Bridge Wind",E,Nov-26,100.8,100.8,100.8,100.8,100.8,Land-Based Wind,2019.0,,(2)
737,Empire Offshore Wind LLC Empire Wind 1,J,Dec-26,816.0,816.0,816.0,816.0,816.0,Offshore Wind,2019.0,,(2)
766,Sunrise Wind LLC Sunrise Wind,K,Mar-26,1085.7,880.0,880.0,880.0,880.0,Offshore Wind,2021.0,,(2)
801,"Prattsburgh Wind, LLC Prattsburgh Wind Farm",C,Sep-27,147.0,147.0,147.0,147.0,147.0,Land-Based Wind,2021.0,,(2)
987,Sunrise Wind LLC Sunrise Wind II,K,Mar-26,966.0,44.0,44.0,44.0,44.0,Offshore Wind,2021.0,,(2) (12)
1130,Liberty Renewables Inc. Hoffman Falls Wind,C,Dec-27,72.0,72.0,72.0,72.0,72.0,Land-Based Wind,2023.0,,(2)
1148,Liberty Renewables Inc. Agricola Wind,C,Dec-27,99.0,97.0,97.0,97.0,97.0,Land-Based Wind,2023.0,,(2)
