year,subset,n,alpha_p10,alpha_median,alpha_mean,alpha_p90,frac_gt_0.20,frac_gt_0.25,frac_gt_0.40
2020,all,1519977,0.0879,0.2214,0.2364,0.4255,0.5761,0.4049,0.1272
2020,day(10-15 EST),386322,0.0660,0.1427,0.1496,0.2409,0.2207,0.0821,0.0064
2020,night(22-04 EST),441294,0.1485,0.2921,0.2961,0.4863,0.8003,0.6363,0.2375
2020,season:DJF,379811,0.1201,0.2327,0.2432,0.4008,0.6515,0.4234,0.1008
2020,season:MAM,385599,0.0864,0.2083,0.2289,0.4142,0.5309,0.3641,0.1143
2020,season:JJA,376071,0.0678,0.1927,0.2186,0.4368,0.4831,0.3745,0.1429
2020,season:SON,378496,0.1056,0.2378,0.2548,0.4456,0.6390,0.4581,0.1511
2024,all,1506704,0.0843,0.2245,0.2314,0.3977,0.5900,0.4085,0.0976
2024,day(10-15 EST),381293,0.0584,0.1442,0.1458,0.2331,0.2174,0.0624,0.0047
2024,night(22-04 EST),437364,0.1574,0.2899,0.2906,0.4558,0.8259,0.6607,0.1821
2024,season:DJF,376567,0.1098,0.2325,0.2362,0.3772,0.6537,0.4178,0.0777
2024,season:MAM,382463,0.0831,0.2148,0.2262,0.3913,0.5558,0.3777,0.0910
2024,season:JJA,372631,0.0685,0.2011,0.2155,0.3979,0.5030,0.3704,0.0977
2024,season:SON,375043,0.0921,0.2413,0.2478,0.4209,0.6473,0.4683,0.1242
