year,ref,target,treatment,name,n,mean_mod,mean_ref,bias_mw,nmae_pct,nrmse_pct,pearson_r,ramp_r,ramp_std_mod,ramp_std_ref,ramp_p95_mod,ramp_p95_ref,cf_norm_nmae_pct
2020,pluswind,copenhagen,v4_nohub,v4_nohub,8780,29.6428,29.8133,-0.1705,6.7198,12.9846,0.9913,0.9517,9.2082,10.1463,20.1566,22.9640,6.7510
2020,pluswind,marble_agg,v4_nohub,v4_nohub,8780,154.8257,157.1038,-2.2781,2.8897,5.2918,0.9989,0.9905,49.9404,51.5049,109.4877,110.9018,2.7854
2020,pluswind,copenhagen,full,full,8780,31.4242,29.8133,1.6108,8.7268,15.3184,0.9891,0.9427,9.4535,10.1463,20.6599,22.9640,9.3023
2020,pluswind,marble_agg,full,full,8780,159.8834,157.1038,2.7796,2.7555,5.6013,0.9988,0.9898,50.6246,51.5049,110.7172,110.9018,2.8243
2020,pluswind,copenhagen,clip0.20,clip0.20,8780,31.1984,29.8133,1.3851,8.2968,14.7316,0.9896,0.9447,9.4284,10.1463,20.5236,22.9640,8.8528
2020,pluswind,marble_agg,clip0.20,clip0.20,8780,159.0676,157.1038,1.9638,2.4850,5.2225,0.9989,0.9903,50.5336,51.5049,110.4812,110.9018,2.5987
2020,pluswind,copenhagen,clip0.25,clip0.25,8780,31.4242,29.8133,1.6108,8.7268,15.3184,0.9891,0.9427,9.4535,10.1463,20.6599,22.9640,9.3023
2020,pluswind,marble_agg,clip0.25,clip0.25,8780,159.8834,157.1038,2.7796,2.7555,5.6013,0.9988,0.9898,50.6246,51.5049,110.7172,110.9018,2.8243
2020,pluswind,copenhagen,blend0.5,blend0.5,8780,31.3306,29.8133,1.5173,8.5086,14.9936,0.9894,0.9439,9.4434,10.1463,20.5846,22.9640,9.0743
2020,pluswind,marble_agg,blend0.5,blend0.5,8780,159.4016,157.1038,2.2978,2.6139,5.4508,0.9988,0.9900,50.5664,51.5049,110.5201,110.9018,2.7595
2024,lpi,marble_agg,v4_nohub,v4_nohub,7561,135.5788,94.6776,40.9012,64.9690,100.3775,0.8584,0.2397,55.1467,30.4075,124.7737,65.6167,40.3107
2024,lpi,copenhagen,v4_nohub,v4_nohub,7337,27.3107,27.6214,-0.3106,30.5174,43.7968,0.8997,0.2757,10.7061,8.1989,24.0286,18.0833,31.0178
2024,lpi,marble_agg,full,full,7561,140.2929,94.6776,45.6153,68.1821,104.4775,0.8592,0.2392,56.2542,30.4075,126.4484,65.6167,39.8486
2024,lpi,copenhagen,full,full,7337,29.0971,27.6214,1.4758,31.6587,45.4190,0.8997,0.2758,11.1635,8.1989,25.0843,18.0833,29.4050
2024,lpi,marble_agg,clip0.20,clip0.20,7561,139.5242,94.6776,44.8466,67.6172,103.7541,0.8592,0.2394,56.0880,30.4075,126.2985,65.6167,39.8857
2024,lpi,copenhagen,clip0.20,clip0.20,7337,28.8621,27.6214,1.2407,31.4882,45.1795,0.8996,0.2753,11.1007,8.1989,24.9459,18.0833,29.5472
2024,lpi,marble_agg,clip0.25,clip0.25,7561,140.2929,94.6776,45.6153,68.1821,104.4775,0.8592,0.2392,56.2542,30.4075,126.4484,65.6167,39.8486
2024,lpi,copenhagen,clip0.25,clip0.25,7337,29.0971,27.6214,1.4758,31.6587,45.4190,0.8997,0.2758,11.1635,8.1989,25.0843,18.0833,29.4050
2024,lpi,marble_agg,blend0.5,blend0.5,7561,139.8431,94.6776,45.1655,67.8613,104.0901,0.8588,0.2393,56.1624,30.4075,126.3720,65.6167,39.9137
2024,lpi,copenhagen,blend0.5,blend0.5,7337,28.9636,27.6214,1.3422,31.5058,45.1874,0.8998,0.2765,11.1227,8.1989,24.9550,18.0833,29.4366
