site_id,site_name,nameplate_mw,operating_year,eia_plant_id,cap_kw,rsa_m2,spec_pw,top_model,archetype
wind_323596,"Niagara Wind Power, LLC Steel Wind",20.0000,2007,56575,2500.0000,10568.3200,236.5560,GE2.5-116,A2
wind_323608,"Valcour Bliss Windpark, LLC Bliss Wind Power",100.5000,2008,56620,1500.0000,4656.6300,322.1214,GE1.5-77,A1
wind_323693,"Erie Wind, LLC Erie Wind",15.0000,2012,57078,2500.0000,10568.3200,236.5560,GE2.5-116,A2
wind_323751,Arkwright Summit Wind Farm LLC Arkwright Summit Wind Farm,78.4000,2018,61673,2177.7778,9503.3200,229.1597,V110-2.0,A2
wind_323784,"Cassadaga Wind, LLC Cassadaga Wind",126.5000,2021,58777,3391.2162,10604.2146,319.7989,N117/3675,A1
wind_323825,"Ball Hill Wind Energy, LLC Ball Hill Wind",107.5000,2024,65495,4300.0000,17294.0912,248.6398,V150-4.3,A2
wind_24204,Canastota Windpower LLC Fenner Wind Power,30.0000,2001,55790,1500.0000,3972.4995,377.5960,GE1.5-70.5,A1
wind_323617,"Canandaigua Power Partners, LLC Canandaigua Wind Power",125.0000,2008,60596,3806.2500,15805.3525,240.8203,V150-4.0,A2
wind_323625,Sheldon Energy LLC High Sheldon Wind Farm,118.1000,2009,56953,1500.0000,4656.6300,322.1214,GE1.5-77,A1
wind_323626,"Valcour Wethersfield Windpark, LLC Wethersfield Wind Power",126.0000,2008,56902,1500.0000,4656.6300,322.1214,GE1.5-77,A1
wind_323690,Howard Wind LLC Howard Wind,55.4000,2011,57867,2050.0000,6717.3767,305.1787,MM92,A1
wind_323706,Stony Creek Energy LLC Orangeville Wind Farm,93.9000,2013,58088,1620.0000,7903.4603,204.9735,GE1.62-100,A2
wind_323713,Marsh Hill Energy LLC Marsh Hill Wind Farm,16.2000,2014,58768,1620.0000,8332.2900,194.4243,GE1.62-103,A2
wind_323820,"NextEra Energy Marketing, LLC Eight Point Wind",111.2000,2023,66052,4625.0000,17582.8079,263.0410,GE5.5-158,A2
wind_323822,"Baron Winds, LLC Baron Winds",238.4000,2023,60596,3806.2500,15805.3525,240.8203,V150-4.0,A2
wind_323604,"Valcour Ellenburg Windapark,LLC Ellenburg Wind Power",81.0000,2008,56619,1500.0000,4656.6300,322.1214,GE1.5-77,A1
wind_323605,"Valcour Clinton Windpark,LLC Clinton Wind Power",100.5000,2008,56618,1500.0000,4656.6300,322.1214,GE1.5-77,A1
wind_323606,"Valcour Altona Windpark, LLC Altona Wind Power",97.5000,2008,56901,1500.0000,4656.6300,322.1214,GE1.5-77,A1
wind_323614,"Valcour  Chateaugay Windpark, LLC Chateaugay Wind Power",106.5000,2008,56904,1500.0000,4656.6300,322.1214,GE1.5-77,A1
wind_323696,Marble River LLC Marble River Wind,215.2000,2012,56857,3075.0000,9852.0300,312.1184,V112-3.075,A1
wind_323719,Jericho Rise Wind Farm LLC Jericho Rise Wind Farm,77.7000,2016,59629,2100.0000,10207.0300,205.7406,G114-2.1,A2
wind_24146,"Madison Windpower, LLC Madison Wind Power",11.6000,2000,55769,1650.0000,3421.1900,482.2883,V66-1.65,A1
wind_323574,"Flat Rock Windpower, LLC Maple Ridge Wind 1",231.0000,2006,56290,1650.0000,5281.0200,312.4396,V82-1.65,A1
wind_323611,"Flat Rock Windpower II, LLC Maple Ridge Wind 2",90.8000,2007,56290,1650.0000,5281.0200,312.4396,V82-1.65,A1
wind_323609,"Munnsville Wind Farm, LLC Munnsville Wind Power",34.5000,2007,56594,1500.0000,4656.6300,322.1214,GE1.5-77,A1
wind_323673,Hardscrabble Wind Power LLC Hardscrabble Wind,74.0000,2011,57287,2000.0000,6361.7300,314.3799,G90-2.0,A1
wind_323753,Galt Power Inc. Copenhagen Wind Farm,79.9000,2018,58979,2000.0000,9503.3200,210.4528,V110-2.0,A2
wind_323790,Avangrid Renewables LLC Roaring Brook Wind,79.7000,2021,61041,3986.2500,14936.5075,266.8797,SG-4.44-145,A2
wind_323818,Number Three Wind LLC Number Three Wind Power,103.9000,2023,65522,3685.1852,16356.0637,225.3100,V150-4.0,A2
wind_323821,"Bluestone Wind, LLC BlueStone Wind",111.8000,2024,65496,4300.0000,17671.4600,243.3302,V150-4.3,A2
wind_323839,Long Island Power Authority South Fork Wind,136.0000,2024,65561,,,,,unknown
