ws,A1,A2
0.1250,0.0000,0.0000
0.3750,0.0000,0.0000
0.6250,0.0000,0.0000
0.8750,0.0000,0.0000
1.1250,0.0000,0.0000
1.3750,0.0000,0.0000
1.6250,0.0000,0.0000
1.8750,0.0000,0.0000
2.1250,0.0000,0.0000
2.3750,0.0000,0.0000
2.6250,0.0000,0.0000
2.8750,0.0000,0.0000
3.1250,0.0091,0.0187
3.3750,0.0144,0.0266
3.6250,0.0211,0.0366
3.8750,0.0289,0.0481
4.1250,0.0382,0.0611
4.3750,0.0481,0.0756
4.6250,0.0593,0.0921
4.8750,0.0713,0.1104
5.1250,0.0851,0.1307
5.3750,0.1001,0.1529
5.6250,0.1167,0.1779
5.8750,0.1349,0.2063
6.1250,0.1551,0.2351
6.3750,0.1766,0.2664
6.6250,0.1999,0.3017
6.8750,0.2248,0.3384
7.1250,0.2519,0.3794
7.3750,0.2811,0.4242
7.6250,0.3118,0.4703
7.8750,0.3444,0.5210
8.1250,0.3805,0.5722
8.3750,0.4189,0.6284
8.6250,0.4582,0.6879
8.8750,0.5011,0.7511
9.1250,0.5456,0.8239
9.3750,0.5937,0.8992
9.6250,0.6434,0.9473
9.8750,0.6947,0.9543
10.1250,0.7512,0.9614
10.3750,0.8073,0.9683
10.6250,0.8683,0.9750
10.8750,0.9240,0.9815
11.1250,0.9472,0.9896
11.3750,0.9541,0.9967
11.6250,0.9611,1.0000
11.8750,0.9679,1.0000
12.1250,0.9751,1.0000
12.3750,0.9820,1.0000
12.6250,0.9892,1.0000
12.8750,0.9962,1.0000
13.1250,1.0000,1.0000
13.3750,1.0000,1.0000
13.6250,1.0000,1.0000
13.8750,1.0000,1.0000
14.1250,1.0000,1.0000
14.3750,1.0000,1.0000
14.6250,1.0000,1.0000
14.8750,1.0000,1.0000
15.1250,1.0000,1.0000
15.3750,1.0000,1.0000
15.6250,1.0000,1.0000
15.8750,1.0000,1.0000
16.1250,1.0000,1.0000
16.3750,1.0000,1.0000
16.6250,1.0000,1.0000
16.8750,1.0000,1.0000
17.1250,1.0000,1.0000
17.3750,1.0000,1.0000
17.6250,1.0000,1.0000
17.8750,1.0000,1.0000
18.1250,1.0000,1.0000
18.3750,1.0000,1.0000
18.6250,1.0000,1.0000
18.8750,1.0000,1.0000
19.1250,1.0000,1.0000
19.3750,1.0000,1.0000
19.6250,1.0000,1.0000
19.8750,1.0000,1.0000
20.1250,1.0000,1.0000
20.3750,1.0000,1.0000
20.6250,1.0000,1.0000
20.8750,1.0000,1.0000
21.1250,1.0000,1.0000
21.3750,1.0000,1.0000
21.6250,1.0000,1.0000
21.8750,1.0000,1.0000
22.1250,1.0000,1.0000
22.3750,1.0000,1.0000
22.6250,1.0000,1.0000
22.8750,1.0000,1.0000
23.1250,1.0000,1.0000
23.3750,1.0000,1.0000
23.6250,1.0000,1.0000
23.8750,1.0000,1.0000
24.1250,1.0000,1.0000
24.3750,1.0000,1.0000
24.6250,1.0000,1.0000
24.8750,1.0000,1.0000
