count,median,mean,p25,p75,ws_bin,archetype,isotonic,used_in_fit
394,0.0000,0.0000,0.0000,0.0000,0.1250,A1,0.0000,True
1217,0.0000,0.0000,0.0000,0.0000,0.3750,A1,0.0000,True
2061,0.0000,0.0000,0.0000,0.0000,0.6250,A1,0.0000,True
2922,0.0000,0.0000,0.0000,0.0000,0.8750,A1,0.0000,True
3717,0.0000,0.0000,0.0000,0.0000,1.1250,A1,0.0000,True
4567,0.0000,0.0000,0.0000,0.0000,1.3750,A1,0.0000,True
5249,0.0000,0.0000,0.0000,0.0000,1.6250,A1,0.0000,True
6156,0.0000,0.0000,0.0000,0.0000,1.8750,A1,0.0000,True
6706,0.0000,0.0000,0.0000,0.0000,2.1250,A1,0.0000,True
7276,0.0000,0.0001,0.0000,0.0000,2.3750,A1,0.0000,True
7927,0.0000,0.0003,0.0000,0.0000,2.6250,A1,0.0000,True
8402,0.0043,0.0042,0.0026,0.0058,2.8750,A1,0.0000,True
8877,0.0091,0.0084,0.0075,0.0106,3.1250,A1,0.0091,True
9278,0.0144,0.0143,0.0127,0.0164,3.3750,A1,0.0144,True
9357,0.0211,0.0209,0.0189,0.0235,3.6250,A1,0.0211,True
9582,0.0289,0.0285,0.0264,0.0316,3.8750,A1,0.0289,True
9742,0.0382,0.0375,0.0351,0.0412,4.1250,A1,0.0382,True
10213,0.0481,0.0472,0.0446,0.0515,4.3750,A1,0.0481,True
10222,0.0593,0.0581,0.0555,0.0630,4.6250,A1,0.0593,True
10477,0.0713,0.0702,0.0671,0.0757,4.8750,A1,0.0713,True
10326,0.0851,0.0836,0.0804,0.0898,5.1250,A1,0.0851,True
10527,0.1001,0.0982,0.0950,0.1054,5.3750,A1,0.1001,True
10605,0.1167,0.1146,0.1110,0.1226,5.6250,A1,0.1167,True
10753,0.1349,0.1325,0.1287,0.1415,5.8750,A1,0.1349,True
10420,0.1551,0.1524,0.1482,0.1624,6.1250,A1,0.1551,True
10507,0.1766,0.1731,0.1687,0.1842,6.3750,A1,0.1766,True
10491,0.1999,0.1961,0.1914,0.2084,6.6250,A1,0.1999,True
10271,0.2248,0.2205,0.2154,0.2340,6.8750,A1,0.2248,True
9911,0.2519,0.2472,0.2416,0.2619,7.1250,A1,0.2519,True
9688,0.2811,0.2756,0.2701,0.2916,7.3750,A1,0.2811,True
9401,0.3118,0.3059,0.2994,0.3236,7.6250,A1,0.3118,True
9015,0.3444,0.3371,0.3310,0.3570,7.8750,A1,0.3444,True
8621,0.3805,0.3723,0.3652,0.3939,8.1250,A1,0.3805,True
8403,0.4189,0.4102,0.4031,0.4333,8.3750,A1,0.4189,True
7876,0.4582,0.4476,0.4406,0.4736,8.6250,A1,0.4582,True
7590,0.5011,0.4889,0.4817,0.5173,8.8750,A1,0.5011,True
7254,0.5456,0.5324,0.5235,0.5626,9.1250,A1,0.5456,True
6982,0.5937,0.5793,0.5700,0.6115,9.3750,A1,0.5937,True
6712,0.6434,0.6278,0.6189,0.6627,9.6250,A1,0.6434,True
6306,0.6947,0.6776,0.6685,0.7162,9.8750,A1,0.6947,True
5879,0.7512,0.7335,0.7230,0.7733,10.1250,A1,0.7512,True
5648,0.8073,0.7842,0.7742,0.8302,10.3750,A1,0.8073,True
5161,0.8683,0.8421,0.8342,0.8922,10.6250,A1,0.8683,True
4821,0.9240,0.8907,0.8911,0.9402,10.8750,A1,0.9240,True
4486,0.9472,0.9133,0.9371,0.9498,11.1250,A1,0.9472,True
4121,0.9541,0.9281,0.9456,0.9567,11.3750,A1,0.9541,True
3929,0.9611,0.9400,0.9455,0.9638,11.6250,A1,0.9611,True
3622,0.9679,0.9499,0.9516,0.9708,11.8750,A1,0.9679,True
3480,0.9751,0.9595,0.9627,0.9778,12.1250,A1,0.9751,True
3082,0.9820,0.9678,0.9711,0.9848,12.3750,A1,0.9820,True
2918,0.9892,0.9775,0.9790,0.9919,12.6250,A1,0.9892,True
2649,0.9962,0.9862,0.9867,0.9981,12.8750,A1,0.9962,True
2444,1.0000,0.9911,0.9915,1.0000,13.1250,A1,1.0000,True
2241,1.0000,0.9919,0.9975,1.0000,13.3750,A1,1.0000,True
2051,1.0000,0.9932,0.9981,1.0000,13.6250,A1,1.0000,True
1766,1.0000,0.9939,0.9981,1.0000,13.8750,A1,1.0000,True
1676,1.0000,0.9945,0.9981,1.0000,14.1250,A1,1.0000,True
1469,1.0000,0.9948,0.9981,1.0000,14.3750,A1,1.0000,True
1322,1.0000,0.9952,0.9981,1.0000,14.6250,A1,1.0000,True
1139,1.0000,0.9953,0.9981,1.0000,14.8750,A1,1.0000,True
1100,1.0000,0.9961,0.9981,1.0000,15.1250,A1,1.0000,True
932,1.0000,0.9962,0.9981,1.0000,15.3750,A1,1.0000,True
847,1.0000,0.9963,0.9981,1.0000,15.6250,A1,1.0000,True
