Time,wind_323604,wind_323605,wind_323614,wind_323696,wind_323753
2020-01-01 00:00:00+00:00,16.5809,22.0985,21.6765,46.7327,61.6762
2020-01-01 01:00:00+00:00,22.6958,28.4922,27.3138,69.2258,56.4847
2020-01-01 02:00:00+00:00,32.3762,35.4827,36.9661,79.4203,58.5075
2020-01-01 03:00:00+00:00,47.9475,52.5142,47.5293,124.0636,47.7646
2020-01-01 04:00:00+00:00,52.3702,55.9109,47.8243,150.4623,66.2298
2020-01-01 05:00:00+00:00,52.9575,53.4019,49.7979,136.0797,64.2128
2020-01-01 06:00:00+00:00,25.5034,35.6629,38.4754,64.7403,75.6389
2020-01-01 07:00:00+00:00,45.6871,54.5371,60.4220,108.1662,73.3112
2020-01-01 08:00:00+00:00,54.7715,57.3119,61.0331,129.9027,75.4914
2020-01-01 09:00:00+00:00,63.5024,71.1463,74.5810,162.8033,72.7473
2020-01-01 10:00:00+00:00,62.2527,77.6273,81.1390,168.0116,79.5068
2020-01-01 11:00:00+00:00,58.9547,67.8409,68.5836,160.2950,78.9187
2020-01-01 12:00:00+00:00,41.8846,45.1213,45.5167,110.2686,76.2591
2020-01-01 13:00:00+00:00,52.6806,55.3434,55.0267,135.1507,76.5620
2020-01-01 14:00:00+00:00,61.7389,66.1909,66.7762,160.1480,76.1845
2020-01-01 15:00:00+00:00,56.1691,63.1867,59.4218,156.8747,75.5219
2020-01-01 16:00:00+00:00,57.0863,59.6611,57.4413,150.7730,79.9000
2020-01-01 17:00:00+00:00,42.9134,45.2360,47.4095,103.9123,79.8890
2020-01-01 18:00:00+00:00,43.1035,46.0160,52.1954,95.1989,79.8153
2020-01-01 19:00:00+00:00,50.8641,55.0280,59.6286,117.9624,79.8413
2020-01-01 20:00:00+00:00,52.4040,59.9184,65.0143,126.1679,77.9273
2020-01-01 21:00:00+00:00,47.4034,51.3415,52.9181,117.6127,74.2227
2020-01-01 22:00:00+00:00,69.3021,83.6318,86.6328,177.6443,60.0409
2020-01-01 23:00:00+00:00,76.0973,93.6973,98.8667,197.4419,57.1424
2020-01-02 00:00:00+00:00,75.5193,94.9330,94.8661,203.7274,51.1766
2020-01-02 01:00:00+00:00,78.2624,96.7393,101.7737,207.8258,65.4153
2020-01-02 02:00:00+00:00,67.4775,77.1321,78.3191,170.0407,63.1692
2020-01-02 03:00:00+00:00,76.8307,96.0006,99.6958,203.3842,46.4523
2020-01-02 04:00:00+00:00,79.6160,98.1884,102.8218,211.1377,22.5835
2020-01-02 05:00:00+00:00,78.6628,95.8753,93.8529,208.6896,16.9796
2020-01-02 06:00:00+00:00,78.1595,92.8266,92.0200,206.5018,21.7333
2020-01-02 07:00:00+00:00,62.2597,69.0893,64.8232,158.4774,22.6801
2020-01-02 08:00:00+00:00,53.2425,58.9664,55.9741,124.8542,22.1325
2020-01-02 09:00:00+00:00,51.9146,50.3619,48.5751,110.9098,22.9357
2020-01-02 10:00:00+00:00,41.8630,41.5291,41.5464,80.5624,48.6660
2020-01-02 11:00:00+00:00,39.1447,52.1576,50.0998,91.8640,61.5068
2020-01-02 12:00:00+00:00,35.6828,48.9667,47.2017,91.0497,75.9155
2020-01-02 13:00:00+00:00,36.0564,47.4980,47.2877,87.0685,75.3831
2020-01-02 14:00:00+00:00,43.8356,53.0121,54.4617,96.0333,64.6322
2020-01-02 15:00:00+00:00,23.0923,24.6963,26.0860,47.0784,48.1053
2020-01-02 16:00:00+00:00,23.7541,22.2641,25.7183,39.4457,42.6937
2020-01-02 17:00:00+00:00,17.4188,16.8878,19.6125,29.6866,39.1059
2020-01-02 18:00:00+00:00,18.0880,16.1888,19.2516,26.3549,28.3807
2020-01-02 19:00:00+00:00,18.5163,18.5027,20.4555,28.3210,26.0813
2020-01-02 20:00:00+00:00,27.0602,29.7060,30.8198,41.0824,28.6515
2020-01-02 21:00:00+00:00,47.7646,54.3327,52.2997,82.2471,49.3791
2020-01-02 22:00:00+00:00,58.0193,53.2909,50.9873,97.5754,55.3458
2020-01-02 23:00:00+00:00,53.3292,48.5563,50.1890,78.9877,53.3553
2020-01-03 00:00:00+00:00,72.4320,71.4245,74.5533,129.5244,52.6456
2020-01-03 01:00:00+00:00,80.0466,97.3915,102.7684,208.6402,70.8002
2020-01-03 02:00:00+00:00,79.8109,90.2141,98.5547,195.0598,75.3354
2020-01-03 03:00:00+00:00,80.9780,96.6068,104.4042,202.4787,75.5288
2020-01-03 04:00:00+00:00,80.2964,97.5898,103.2878,209.2868,74.2414
2020-01-03 05:00:00+00:00,79.5364,97.0962,102.1717,209.8496,66.0915
2020-01-03 06:00:00+00:00,79.2162,96.8520,101.7353,209.4997,56.6590
2020-01-03 07:00:00+00:00,78.3750,96.4737,100.3856,208.5182,56.9223
2020-01-03 08:00:00+00:00,78.3393,96.5181,99.7029,209.0717,51.8961
2020-01-03 09:00:00+00:00,75.2960,94.0134,88.0854,202.9462,27.3857
2020-01-03 10:00:00+00:00,72.1089,89.3144,87.4894,191.4014,23.0327
2020-01-03 11:00:00+00:00,47.0222,56.8772,53.7996,121.5256,20.2390
2020-01-03 12:00:00+00:00,39.5239,50.0126,45.9212,107.7278,23.4947
