name,n,mean_mod,mean_ref,bias_mw,nmae_pct,nrmse_pct,pearson_r,ramp_r,ramp_std_mod,ramp_std_ref,ramp_p95_mod,ramp_p95_ref,cf_norm_nmae_pct,site_id,reference
single,8780,27.0775,27.5865,-0.5090,1.8454,2.8770,0.9998,0.9989,8.9797,9.0518,19.2390,19.5302,1.4582,wind_323604,pluswind
multiA,8780,26.4819,27.5865,-1.1046,4.8498,9.2616,0.9969,0.9832,8.6050,9.0518,18.8374,19.5302,5.0189,wind_323604,pluswind
multiB,8780,26.4242,27.5865,-1.1623,4.9991,9.9351,0.9963,0.9786,8.7460,9.0518,19.0222,19.5302,5.5273,wind_323604,pluswind
v5hub,8780,26.4819,27.5865,-1.1046,4.8498,9.2616,0.9969,0.9832,8.6050,9.0518,18.8374,19.5302,5.0189,wind_323604,pluswind
v6lrn,8780,26.6305,27.5865,-0.9559,4.5301,8.7758,0.9971,0.9842,8.6265,9.0518,18.9681,19.5302,4.7680,wind_323604,pluswind
single,8780,29.4993,29.8741,-0.3748,1.2643,2.0787,0.9999,0.9995,11.0455,11.0903,23.8834,23.9079,0.9938,wind_323605,pluswind
multiA,8780,30.3846,29.8741,0.5105,4.1239,8.6463,0.9971,0.9785,10.5539,11.0903,22.8802,23.9079,4.3620,wind_323605,pluswind
multiB,8780,30.3542,29.8741,0.4801,3.9953,8.8560,0.9970,0.9763,10.7777,11.0903,23.1404,23.9079,4.1336,wind_323605,pluswind
v5hub,8780,30.3846,29.8741,0.5105,4.1239,8.6463,0.9971,0.9785,10.5539,11.0903,22.8802,23.9079,4.3620,wind_323605,pluswind
v6lrn,8780,30.5681,29.8741,0.6940,4.3853,8.9564,0.9970,0.9779,10.5819,11.0903,23.0256,23.9079,4.6063,wind_323605,pluswind
single,8780,32.4019,32.9698,-0.5679,1.7234,2.7214,0.9998,0.9992,11.4973,11.5885,24.6597,24.6808,1.2621,wind_323614,pluswind
multiA,8780,31.9961,32.9698,-0.9737,4.5467,9.4668,0.9966,0.9717,11.2684,11.5885,24.4368,24.6808,4.8496,wind_323614,pluswind
multiB,8780,31.9708,32.9698,-0.9990,4.5810,9.8706,0.9962,0.9666,11.4270,11.5885,24.6506,24.6808,5.0169,wind_323614,pluswind
v5hub,8780,31.9961,32.9698,-0.9737,4.5467,9.4668,0.9966,0.9717,11.2684,11.5885,24.4368,24.6808,4.8496,wind_323614,pluswind
v6lrn,8780,32.1905,32.9698,-0.7793,4.3058,9.1263,0.9967,0.9724,11.2999,11.5885,24.5637,24.6808,4.6161,wind_323614,pluswind
single,8780,66.8725,66.6734,0.1991,7.4529,16.8953,0.9882,0.9146,23.9051,24.2829,52.4758,52.5451,7.4927,wind_323696,pluswind
multiA,8780,65.9630,66.6734,-0.7104,6.3843,12.4996,0.9935,0.9587,21.6692,24.2829,48.5690,52.5451,6.2830,wind_323696,pluswind
multiB,8780,65.6846,66.6734,-0.9888,6.0272,12.1631,0.9938,0.9626,22.4908,24.2829,49.3549,52.5451,6.1104,wind_323696,pluswind
v5hub,8780,72.2532,66.6734,5.5798,9.3856,17.6383,0.9905,0.9464,22.6675,24.2829,50.7051,52.5451,8.9945,wind_323696,pluswind
v6lrn,8780,64.9416,66.6734,-1.7318,7.0806,13.0269,0.9933,0.9583,21.4914,24.2829,47.8683,52.5451,6.7627,wind_323696,pluswind
single,8780,26.9814,29.8133,-2.8320,18.1595,34.5320,0.9401,0.7997,10.5141,10.1463,23.1948,22.9640,21.7846,wind_323753,pluswind
multiA,8780,29.6428,29.8133,-0.1705,6.7198,12.9846,0.9913,0.9517,9.2082,10.1463,20.1567,22.9640,6.7510,wind_323753,pluswind
multiB,8780,29.6631,29.8133,-0.1502,5.9357,11.7498,0.9927,0.9600,9.6540,10.1463,21.6913,22.9640,6.0304,wind_323753,pluswind
v5hub,8780,31.8150,29.8133,2.0017,9.5662,16.6143,0.9878,0.9377,9.5136,10.1463,20.8268,22.9640,10.1817,wind_323753,pluswind
v6lrn,8780,29.2442,29.8133,-0.5691,6.8210,13.1337,0.9913,0.9519,9.1911,10.1463,20.2311,22.9640,6.9582,wind_323753,pluswind
single,8780,182.8327,186.9171,-4.0845,4.4901,8.0283,0.9971,0.9760,53.7044,53.7891,116.9856,115.6829,4.6310,FLEET,pluswind
multiA,8780,184.4685,186.9171,-2.4487,2.8597,4.9374,0.9989,0.9897,52.0766,53.7891,114.0028,115.6829,2.6688,FLEET,pluswind
multiB,8780,184.0969,186.9171,-2.8202,2.9517,5.2101,0.9988,0.9891,53.1793,53.7891,115.7622,115.6829,2.9247,FLEET,pluswind
v5hub,8780,192.9308,186.9171,6.0137,3.8615,6.6540,0.9984,0.9874,52.9667,53.7891,115.7317,115.6829,3.6569,FLEET,pluswind
v6lrn,8780,183.5750,186.9171,-3.3422,3.1241,5.1605,0.9989,0.9897,51.9815,53.7891,114.2538,115.6829,2.7807,FLEET,pluswind
