Time,wind_323604,wind_323605,wind_323614,wind_323696,wind_323753
2024-01-01 00:00:00+00:00,5.2758,4.1292,4.0286,12.9933,0.9628
2024-01-01 01:00:00+00:00,4.3405,2.5649,3.6547,8.5469,0.6812
2024-01-01 02:00:00+00:00,2.1550,0.7926,0.8030,6.1691,4.4382
2024-01-01 03:00:00+00:00,3.1735,2.8474,1.3764,10.9524,10.9557
2024-01-01 04:00:00+00:00,2.4264,2.2705,1.5906,7.9125,2.8270
2024-01-01 05:00:00+00:00,1.8086,0.4235,0.4029,2.7295,4.1157
2024-01-01 06:00:00+00:00,0.4609,0.0000,0.0000,0.9771,7.2555
2024-01-01 07:00:00+00:00,1.4153,1.2333,0.1156,6.3424,4.1544
2024-01-01 08:00:00+00:00,1.5346,2.7162,1.8486,7.5405,1.8448
2024-01-01 09:00:00+00:00,1.0625,3.2899,3.7441,5.1953,0.0188
2024-01-01 10:00:00+00:00,0.2588,0.2312,0.0000,2.9502,0.0000
2024-01-01 11:00:00+00:00,0.0000,0.0000,0.0000,0.0000,1.3515
2024-01-01 12:00:00+00:00,0.0000,0.0000,0.0000,0.0000,0.1201
2024-01-01 13:00:00+00:00,0.0000,0.0000,0.0000,0.0000,0.0000
2024-01-01 14:00:00+00:00,0.0000,0.0000,0.0000,0.0000,0.0000
2024-01-01 15:00:00+00:00,0.0000,0.0000,0.0000,0.0000,0.0000
2024-01-01 16:00:00+00:00,0.0000,0.0000,0.0000,0.0000,0.0000
2024-01-01 17:00:00+00:00,0.0062,0.0000,0.0000,0.0000,0.0000
2024-01-01 18:00:00+00:00,3.2533,2.9088,3.3313,7.1900,2.8014
2024-01-01 19:00:00+00:00,4.5937,3.8403,4.2959,9.1662,0.4755
2024-01-01 20:00:00+00:00,5.5499,4.7929,6.0976,10.9543,0.3548
2024-01-01 21:00:00+00:00,8.3323,10.3798,10.3852,21.7348,0.1360
2024-01-01 22:00:00+00:00,11.6855,13.7100,13.4552,32.5770,0.0000
2024-01-01 23:00:00+00:00,18.2685,22.8174,22.4014,48.5375,1.6518
2024-01-02 00:00:00+00:00,22.8653,26.1449,26.2091,56.3102,1.8236
2024-01-02 01:00:00+00:00,29.5347,27.9964,27.4982,66.3690,4.0131
2024-01-02 02:00:00+00:00,38.4593,40.7559,40.0621,95.3346,12.0225
2024-01-02 03:00:00+00:00,50.5733,52.4834,48.6212,135.1407,23.8517
2024-01-02 04:00:00+00:00,58.4785,65.8412,62.3133,150.0365,8.2385
2024-01-02 05:00:00+00:00,55.3755,68.1721,61.4540,166.2161,11.6124
2024-01-02 06:00:00+00:00,66.4622,84.8140,78.8531,192.7477,16.7390
2024-01-02 07:00:00+00:00,74.0155,95.4285,93.0754,204.0988,5.7620
2024-01-02 08:00:00+00:00,68.3646,83.5758,79.2470,196.0395,0.9329
2024-01-02 09:00:00+00:00,74.0870,94.3159,88.5047,204.8530,5.2273
2024-01-02 10:00:00+00:00,75.0705,96.0771,96.8032,205.5506,23.6492
2024-01-02 11:00:00+00:00,75.7111,95.7492,95.3452,206.7796,20.6151
2024-01-02 12:00:00+00:00,78.7179,97.3876,101.0988,211.8093,28.0594
2024-01-02 13:00:00+00:00,78.6717,97.2053,100.7642,210.2997,21.2452
2024-01-02 14:00:00+00:00,79.4679,98.5239,102.9175,212.9925,45.1117
2024-01-02 15:00:00+00:00,75.7347,94.7976,93.6604,204.0940,42.9481
2024-01-02 16:00:00+00:00,69.1403,85.3822,83.1827,187.6306,32.7507
2024-01-02 17:00:00+00:00,49.0620,55.5973,56.4879,124.1163,37.7936
2024-01-02 18:00:00+00:00,50.8033,69.5059,68.1043,138.6831,47.3963
2024-01-02 19:00:00+00:00,37.2194,47.9954,48.2625,94.0131,50.3067
2024-01-02 20:00:00+00:00,49.8094,73.7335,74.5848,136.5336,61.2304
2024-01-02 21:00:00+00:00,71.6516,89.2847,90.5280,181.9400,60.1588
2024-01-02 22:00:00+00:00,58.8655,78.0574,76.4421,163.0618,18.0773
2024-01-02 23:00:00+00:00,75.0719,95.5188,97.3221,198.3897,34.2387
2024-01-03 00:00:00+00:00,79.8187,97.7329,101.7005,211.8647,50.1018
2024-01-03 01:00:00+00:00,79.9361,97.3290,101.4935,211.6630,69.0672
2024-01-03 02:00:00+00:00,79.4850,96.7776,101.1769,208.3878,69.3515
2024-01-03 03:00:00+00:00,78.9960,96.5205,101.3982,205.7486,77.9213
2024-01-03 04:00:00+00:00,77.8533,86.5753,92.3569,187.2899,77.6425
2024-01-03 05:00:00+00:00,76.9433,91.4533,91.8583,192.4885,57.7471
2024-01-03 06:00:00+00:00,55.4228,63.7780,63.5465,138.8376,44.4510
2024-01-03 07:00:00+00:00,34.0823,44.1957,43.1896,94.4915,21.0008
2024-01-03 08:00:00+00:00,26.9756,36.9941,36.9529,75.9596,27.2421
2024-01-03 09:00:00+00:00,24.2700,33.2553,31.5909,72.6383,15.0095
2024-01-03 10:00:00+00:00,32.6573,43.1619,43.2956,94.5287,24.3892
2024-01-03 11:00:00+00:00,39.1852,49.5567,52.9609,103.4540,20.9117
2024-01-03 12:00:00+00:00,22.7013,30.7270,32.1990,69.2911,21.7295
2024-01-03 13:00:00+00:00,14.8149,20.5973,21.1126,45.0276,10.5089
2024-01-03 14:00:00+00:00,12.6684,18.5129,18.3032,38.4544,19.9997
2024-01-03 15:00:00+00:00,13.2083,16.5531,17.6769,33.3203,19.6388
2024-01-03 16:00:00+00:00,9.3006,11.8713,11.4220,25.0569,17.2693
2024-01-03 17:00:00+00:00,13.2355,16.0573,17.1544,32.6496,17.7678
2024-01-03 18:00:00+00:00,13.3675,14.8205,15.9622,32.6035,27.5156
2024-01-03 19:00:00+00:00,9.2475,11.4654,12.8149,22.6263,21.6197
2024-01-03 20:00:00+00:00,12.7399,14.5299,16.7392,29.2518,23.4212
2024-01-03 21:00:00+00:00,13.9410,14.3576,15.4642,32.0328,29.2780
2024-01-03 22:00:00+00:00,12.6864,12.0886,13.8806,24.2897,13.3478
2024-01-03 23:00:00+00:00,13.4025,17.1238,17.3810,34.3403,14.2369
2024-01-04 00:00:00+00:00,11.3897,15.6732,15.6769,35.1248,24.8285
2024-01-04 01:00:00+00:00,15.4230,16.9605,17.7576,37.8256,33.4295
2024-01-04 02:00:00+00:00,17.0695,22.4658,21.6642,54.6035,28.4139
2024-01-04 03:00:00+00:00,18.2127,20.9546,24.6727,51.3221,20.7029
2024-01-04 04:00:00+00:00,28.6714,26.6379,33.0240,63.7327,29.9501
2024-01-04 05:00:00+00:00,27.4721,33.0070,35.6819,77.1859,9.1749
2024-01-04 06:00:00+00:00,28.6433,31.8333,33.6109,65.9095,8.0576
2024-01-04 07:00:00+00:00,22.5709,23.8939,21.9749,62.8319,23.7290
2024-01-04 08:00:00+00:00,19.3319,26.4204,31.7776,50.8590,20.3889
2024-01-04 09:00:00+00:00,17.0853,20.9936,20.3027,53.5905,23.2848
2024-01-04 10:00:00+00:00,26.8425,38.7369,43.1139,71.5891,27.9016
2024-01-04 11:00:00+00:00,56.8266,51.3755,51.7990,122.6563,77.0120
2024-01-04 12:00:00+00:00,53.0774,64.1253,63.4343,167.0309,48.8054
2024-01-04 13:00:00+00:00,60.2637,56.7291,55.6631,167.7438,50.7681
2024-01-04 14:00:00+00:00,69.7496,70.2973,70.1624,183.9576,55.0088
2024-01-04 15:00:00+00:00,55.4272,59.2633,57.2912,158.0834,45.5008
2024-01-04 16:00:00+00:00,43.3091,44.1658,43.3159,118.7054,29.7033
2024-01-04 17:00:00+00:00,38.9450,42.4263,41.3017,108.6208,16.2248
2024-01-04 18:00:00+00:00,39.5732,43.2480,42.2866,106.4026,11.8571
2024-01-04 19:00:00+00:00,38.0647,41.9680,40.3893,104.9160,14.4511
2024-01-04 20:00:00+00:00,52.7544,48.9346,48.1794,132.2783,17.3308
2024-01-04 21:00:00+00:00,46.4319,47.0283,45.2828,123.5624,15.5236
2024-01-04 22:00:00+00:00,34.3782,33.3876,33.9819,85.8819,19.1659
2024-01-04 23:00:00+00:00,40.1496,37.5098,43.2319,98.0948,11.9970
2024-01-05 00:00:00+00:00,41.7993,44.8375,45.0778,107.5192,6.5664
2024-01-05 01:00:00+00:00,30.2006,29.8538,29.0008,82.6033,0.6739
2024-01-05 02:00:00+00:00,24.3026,22.5029,26.1876,59.3307,0.0000
2024-01-05 03:00:00+00:00,39.3491,42.9008,40.2212,111.0629,0.0089
2024-01-05 04:00:00+00:00,25.2521,29.4987,26.7497,78.0282,0.0000
2024-01-05 05:00:00+00:00,22.3389,24.0948,21.4172,65.5491,0.0000
2024-01-05 06:00:00+00:00,30.1421,34.0934,32.3134,85.7613,0.0000
2024-01-05 07:00:00+00:00,27.5309,29.8027,28.1732,76.6513,3.1113
2024-01-05 08:00:00+00:00,27.3885,30.9301,29.2199,77.0575,14.5042
2024-01-05 09:00:00+00:00,30.6639,36.6954,34.2565,88.3784,1.5978
2024-01-05 10:00:00+00:00,32.8420,38.4977,35.4483,96.8315,0.0353
