Time,wind_323604,wind_323605,wind_323614,wind_323696,wind_323753
2024-01-01 00:00:00+00:00,5.0109,3.3128,4.8757,16.0246,2.4422
2024-01-01 01:00:00+00:00,4.2761,1.7108,4.8169,10.1838,1.7702
2024-01-01 02:00:00+00:00,1.7406,0.0000,1.3794,7.4280,4.5141
2024-01-01 03:00:00+00:00,2.9763,2.0080,1.9761,13.3927,12.2739
2024-01-01 04:00:00+00:00,2.2138,1.8825,1.5459,10.8576,3.2348
2024-01-01 05:00:00+00:00,1.4569,0.0000,0.9965,5.5560,4.0992
2024-01-01 06:00:00+00:00,0.0000,0.0000,0.0000,2.2347,7.2217
2024-01-01 07:00:00+00:00,0.9908,1.1876,0.0000,7.5076,4.7129
2024-01-01 08:00:00+00:00,1.3288,3.0320,1.3936,7.4016,0.9090
2024-01-01 09:00:00+00:00,1.3985,3.8350,2.8820,3.3905,0.0000
2024-01-01 10:00:00+00:00,0.0000,0.0000,0.0000,4.1297,0.0000
2024-01-01 11:00:00+00:00,0.0000,0.0000,0.0000,0.0000,1.4865
2024-01-01 12:00:00+00:00,0.0000,0.0000,0.0000,0.0000,0.0000
2024-01-01 13:00:00+00:00,0.0000,0.0000,0.0000,0.0000,0.0000
2024-01-01 14:00:00+00:00,0.0000,0.0000,0.0000,0.0000,0.0000
2024-01-01 15:00:00+00:00,0.0000,0.0000,0.0000,0.0000,0.0000
2024-01-01 16:00:00+00:00,0.0000,0.0000,0.0000,0.0000,0.0000
2024-01-01 17:00:00+00:00,0.0000,0.0000,0.0000,0.0000,0.0000
2024-01-01 18:00:00+00:00,3.3860,2.4163,3.8928,7.9743,3.2386
2024-01-01 19:00:00+00:00,4.4948,3.1445,4.7906,11.2780,1.4591
2024-01-01 20:00:00+00:00,5.6662,3.7524,6.7824,13.1481,0.9896
2024-01-01 21:00:00+00:00,8.6310,10.2601,10.2938,22.5526,0.4860
2024-01-01 22:00:00+00:00,12.1158,12.7353,14.0846,33.6182,0.0000
2024-01-01 23:00:00+00:00,19.1195,22.4104,21.5758,52.0616,2.2846
2024-01-02 00:00:00+00:00,23.8064,25.4834,25.6931,57.9273,2.0428
2024-01-02 01:00:00+00:00,29.8920,25.4544,29.1876,73.4845,3.6655
2024-01-02 02:00:00+00:00,39.3658,38.2316,40.6758,102.5397,8.6667
2024-01-02 03:00:00+00:00,50.1701,49.0479,50.0020,135.3549,26.4456
2024-01-02 04:00:00+00:00,60.3017,64.0672,60.1780,160.5855,7.0849
2024-01-02 05:00:00+00:00,56.7894,67.9446,58.1696,160.3317,7.8826
2024-01-02 06:00:00+00:00,70.1892,84.1455,74.8022,185.5439,14.3185
2024-01-02 07:00:00+00:00,76.9170,95.7363,86.8912,205.3078,2.9577
2024-01-02 08:00:00+00:00,70.7750,82.3015,76.6721,192.1521,0.0000
2024-01-02 09:00:00+00:00,76.6952,95.0097,82.6927,205.2023,0.8124
2024-01-02 10:00:00+00:00,77.4446,96.1778,93.8902,206.5331,11.2638
2024-01-02 11:00:00+00:00,77.6463,95.5838,92.5642,207.3869,7.4008
2024-01-02 12:00:00+00:00,78.9257,97.1860,101.1520,211.3883,11.1695
2024-01-02 13:00:00+00:00,78.9380,97.0261,100.9106,210.0451,8.7154
2024-01-02 14:00:00+00:00,79.8196,98.0865,102.8263,213.7539,13.0243
2024-01-02 15:00:00+00:00,77.3042,94.5639,92.5226,205.8350,18.5031
2024-01-02 16:00:00+00:00,71.3073,84.1777,81.0212,198.4953,15.0169
2024-01-02 17:00:00+00:00,51.2092,54.0738,56.2304,124.8580,16.1780
2024-01-02 18:00:00+00:00,53.5437,72.5441,62.9390,128.5089,21.4942
2024-01-02 19:00:00+00:00,39.1640,50.3780,44.1881,88.1569,24.1991
