scope,target,site_or_group,label,year,n_hours,nameplate_mw,mean_modeled_mw,mean_ref_mw,mean_bias_mw,cf_modeled_pct,cf_ref_pct,nmae_pct_mean,nrmse_pct_mean,nmae_pct_cap,nrmse_pct_cap,pearson_r,ramp_pearson_r,ramp_std_modeled,ramp_std_ref,ramp_p95_modeled,ramp_p95_ref,cf_norm_nmae_pct,cf_norm_nrmse_pct,level_validatable,notes
per_plant,pluswind,wind_24146,"Madison Windpower, LLC Madison Wind Power",pooled_2018_2021,34686,11.6000,2.5068,2.4947,0.0122,21.6107,21.5057,0.6165,1.1136,0.1326,0.2395,1.0000,0.9999,1.0695,1.0637,2.3088,2.2990,0.4752,0.8010,True,potential-grade reference
per_plant,pluswind,wind_24204,Canastota Windpower LLC Fenner Wind Power,pooled_2018_2021,34686,30.0000,10.4266,10.4325,-0.0060,34.7552,34.7751,0.3335,1.6806,0.1160,0.5844,0.9999,0.9975,3.3526,3.3633,7.4601,7.4585,0.3441,1.6772,True,potential-grade reference
per_plant,pluswind,wind_323574,"Flat Rock Windpower, LLC Maple Ridge Wind 1",pooled_2018_2021,34686,231.0000,78.4621,79.3203,-0.8582,33.9663,34.3378,7.1206,13.8933,2.4451,4.7707,0.9908,0.9383,28.1184,27.8866,62.5998,62.1183,7.4350,13.9339,True,potential-grade reference
per_plant,pluswind,wind_323596,"Niagara Wind Power, LLC Steel Wind",pooled_2018_2021,34686,20.0000,5.7936,4.9108,0.8827,28.9678,24.5541,17.9873,36.3500,4.4166,8.9254,0.9754,0.9367,2.5450,2.2901,5.5435,4.8551,19.0554,28.8991,True,potential-grade reference
per_plant,pluswind,wind_323604,"Valcour Ellenburg Windapark,LLC Ellenburg Wind Power",pooled_2018_2021,34686,81.0000,26.7975,27.2695,-0.4721,33.0833,33.6661,1.7315,2.7287,0.5829,0.9187,0.9998,0.9989,9.3845,9.4481,20.3337,20.6211,1.4143,2.2389,True,potential-grade reference
per_plant,pluswind,wind_323605,"Valcour Clinton Windpark,LLC Clinton Wind Power",pooled_2018_2021,34686,100.5000,28.9167,29.2543,-0.3375,28.7729,29.1087,1.1684,1.9734,0.3401,0.5744,0.9999,0.9995,11.6435,11.7002,25.2789,25.4082,0.9637,1.6281,True,potential-grade reference
per_plant,pluswind,wind_323606,"Valcour Altona Windpark, LLC Altona Wind Power",pooled_2018_2021,34686,97.5000,26.5757,26.9971,-0.4214,27.2571,27.6893,1.5630,2.5446,0.4328,0.7046,0.9999,0.9994,11.7984,11.8787,26.3487,26.5095,1.1540,2.0415,True,potential-grade reference
per_plant,pluswind,wind_323608,"Valcour Bliss Windpark, LLC Bliss Wind Power",pooled_2018_2021,34686,100.5000,36.5863,36.7386,-0.1522,36.4043,36.5558,0.4949,0.8653,0.1809,0.3163,1.0000,0.9998,11.0889,11.0905,24.5632,24.5605,0.5389,0.7890,True,potential-grade reference
per_plant,pluswind,wind_323609,"Munnsville Wind Farm, LLC Munnsville Wind Power",pooled_2018_2021,34686,34.5000,9.2465,9.2659,-0.0193,26.8015,26.8575,0.5007,0.8555,0.1345,0.2298,1.0000,0.9999,3.8723,3.8692,8.6086,8.6360,0.5335,0.8397,True,potential-grade reference
per_plant,pluswind,wind_323611,"Flat Rock Windpower II, LLC Maple Ridge Wind 2",pooled_2018_2021,34686,90.8000,30.8414,31.1787,-0.3373,33.9663,34.3378,7.1206,13.8933,2.4451,4.7707,0.9908,0.9383,11.0526,10.9615,24.6063,24.4171,7.4350,13.9339,True,potential-grade reference
per_plant,pluswind,wind_323614,"Valcour  Chateaugay Windpark, LLC Chateaugay Wind Power",pooled_2018_2021,34686,106.5000,31.8985,32.4246,-0.5261,29.9516,30.4457,1.6241,2.6114,0.4945,0.7951,0.9999,0.9992,12.1490,12.2306,26.3651,26.6747,1.2372,2.0902,True,potential-grade reference
per_plant,pluswind,wind_323625,Sheldon Energy LLC High Sheldon Wind Farm,pooled_2018_2021,34686,118.1000,39.8020,37.8346,1.9674,33.7020,32.0361,5.2830,7.4041,1.6925,2.3720,1.0000,0.9999,13.3843,12.7087,29.8062,28.3055,0.3939,0.6322,True,potential-grade reference
per_plant,pluswind,wind_323626,"Valcour Wethersfield Windpark, LLC Wethersfield Wind Power",pooled_2018_2021,34686,126.0000,46.9028,46.9564,-0.0535,37.2245,37.2670,0.3719,0.9607,0.1386,0.3580,1.0000,0.9992,14.0030,14.0132,31.3756,31.3457,0.4062,0.9571,True,potential-grade reference
per_plant,pluswind,wind_323673,Hardscrabble Wind Power LLC Hardscrabble Wind,pooled_2018_2021,34686,74.0000,19.1237,19.1140,0.0097,25.8428,25.8297,0.5596,0.9079,0.1445,0.2345,1.0000,0.9998,8.1022,8.0721,17.8764,17.8014,0.5593,0.8950,True,potential-grade reference
per_plant,pluswind,wind_323690,Howard Wind LLC Howard Wind,pooled_2018_2021,34686,55.4000,16.5765,16.4715,0.1050,29.9216,29.7320,0.8139,1.1938,0.2420,0.3549,1.0000,0.9998,5.8048,5.7595,12.6668,12.5842,0.5686,0.8853,True,potential-grade reference
per_plant,pluswind,wind_323693,"Erie Wind, LLC Erie Wind",pooled_2018_2021,34686,15.0000,4.4663,3.9618,0.5045,29.7756,26.4121,15.1285,30.0682,3.9958,7.9416,0.9791,0.9490,1.9611,1.8001,4.2655,3.8825,17.4179,25.6052,True,potential-grade reference
per_plant,pluswind,wind_323696,Marble River LLC Marble River Wind,pooled_2018_2021,34686,215.2000,65.3813,66.1755,-0.7943,30.3816,30.7507,1.3015,2.0774,0.4002,0.6388,0.9999,0.9993,25.3679,25.4477,55.4747,55.6119,1.1162,1.8167,True,potential-grade reference
per_plant,pluswind,wind_323706,Stony Creek Energy LLC Orangeville Wind Farm,pooled_2018_2021,34686,93.9000,46.3991,46.1842,0.2149,49.4133,49.1845,1.1270,1.8012,0.5543,0.8859,0.9998,0.9972,11.7806,11.8188,26.7213,26.7069,1.2215,1.8241,True,potential-grade reference
per_plant,pluswind,wind_323713,Marsh Hill Energy LLC Marsh Hill Wind Farm,pooled_2018_2021,34686,16.2000,7.6250,7.7152,-0.0902,47.0679,47.6246,1.1723,1.7999,0.5583,0.8572,0.9999,0.9988,2.0175,2.0181,4.5582,4.5643,1.2875,1.6611,True,potential-grade reference
per_plant,pluswind,wind_323719,Jericho Rise Wind Farm LLC Jericho Rise Wind Farm,pooled_2018_2021,34686,77.7000,29.2757,29.2283,0.0474,37.6779,37.6169,0.6141,1.0958,0.2310,0.4122,0.9999,0.9995,10.1696,10.1455,22.5136,22.5022,0.6266,1.0671,True,potential-grade reference
per_plant,pluswind,wind_323751,Arkwright Summit Wind Farm LLC Arkwright Summit Wind Farm,pooled_2018_2021,34686,78.4000,32.9230,32.9297,-0.0067,41.9937,42.0022,0.3437,0.6742,0.1444,0.2832,1.0000,0.9997,9.9148,9.9066,22.6271,22.5539,0.3501,0.6760,True,potential-grade reference
per_plant,pluswind,wind_323753,Galt Power Inc. Copenhagen Wind Farm,pooled_2018_2021,34686,79.9000,29.9223,29.8660,0.0563,37.4497,37.3792,0.5250,1.0892,0.1962,0.4071,0.9999,0.9994,10.6397,10.6058,23.8444,23.8023,0.5281,1.0512,True,potential-grade reference
fleet_intersection,pluswind,INTERSECTION_22,fleet sum on 22-plant PLUSWIND overlap,pooled_2018_2021,34686,1853.7000,626.4496,626.7243,-0.2747,33.7946,33.8094,1.4639,2.5590,0.4949,0.8652,0.9996,0.9919,110.4256,110.3873,239.5030,239.5708,1.4704,2.5578,True,headline fleet-level potential metric
lpi_group,lpi_2022,maple_ridge,Maple Ridge 1 (MR2 not in LPI),2022,2709,231.0000,90.2032,66.3339,23.8693,39.0490,28.7160,54.6909,78.4477,15.7050,22.5270,0.8448,0.3055,32.7536,19.6555,73.1935,42.3958,35.4960,52.1791,False,aged metered; shape-only
lpi_group,lpi_2023,maple_ridge,Maple Ridge 1 (MR2 not in LPI),2023,8747,231.0000,66.4711,43.5254,22.9457,28.7754,18.8422,73.4655,115.6456,13.8425,21.7901,0.8269,0.2840,31.2736,15.5471,69.1129,34.0042,43.9915,67.4269,False,aged metered; shape-only
lpi_group,lpi_2024,maple_ridge,Maple Ridge 1 (MR2 not in LPI),2024,8778,231.0000,75.4507,54.4239,21.0268,32.6626,23.5601,58.2414,84.9223,13.7218,20.0078,0.8809,0.2902,30.0632,15.9986,66.1875,35.1667,34.9488,50.6944,False,aged metered; shape-only
lpi_group,lpi_pooled,maple_ridge,Maple Ridge 1 (MR2 not in LPI),pooled_2022_2024,20234,231.0000,73.5440,51.3071,22.2369,31.8372,22.2109,63.2099,95.1747,14.0395,21.1391,0.8544,0.2895,30.9643,16.3470,68.9226,35.8333,38.4388,57.7160,False,aged metered; shape-only
lpi_group,lpi_2022,marble_agg,Marble River + Chateaugay + Clinton + Ellenburg (Jericho excl.),2022,1492,503.2000,200.6789,119.1176,81.5613,39.8805,23.6720,82.7195,116.7102,19.5814,27.6277,0.8749,0.2552,60.9604,24.2418,136.4003,49.3955,32.6631,43.6226,False,aged metered agg (4 plants); shape-only
lpi_group,lpi_2023,marble_agg,Marble River + Chateaugay + Clinton + Ellenburg (Jericho excl.),2023,5902,503.2000,117.8223,89.7521,28.0701,23.4146,17.8363,70.7917,116.7162,12.6266,20.8178,0.7247,0.2141,59.4988,28.0566,136.3630,60.2000,55.2721,87.0204,False,aged metered agg (4 plants); shape-only
lpi_group,lpi_2024,marble_agg,Marble River + Chateaugay + Clinton + Ellenburg (Jericho excl.),2024,7557,503.2000,135.4482,94.6401,40.8080,26.9174,18.8077,65.2399,100.6163,12.2701,18.9236,0.8587,0.2375,57.1546,30.4020,128.2857,65.5167,40.4960,59.2798,False,aged metered agg (4 plants); shape-only
lpi_group,lpi_pooled,marble_agg,Marble River + Chateaugay + Clinton + Ellenburg (Jericho excl.),pooled_2022_2024,14951,503.2000,134.9998,95.1532,39.8466,26.8283,18.9096,69.4908,109.4379,13.1404,20.6943,0.8072,0.2292,58.4623,28.9330,132.8434,62.0625,45.7578,68.7727,False,aged metered agg (4 plants); shape-only
lpi_group,lpi_2024,copenhagen,Copenhagen (clean anchor),2024,7334,79.9000,27.0207,27.6162,-0.5954,33.8182,34.5634,31.7768,45.7053,10.9832,15.7973,0.8937,0.2611,11.8163,8.1999,26.7644,18.0833,32.8199,46.7215,True,clean single-plant anchor; raw bias small
lpi_group,lpi_pooled,copenhagen,Copenhagen (clean anchor),pooled_2022_2024,7334,79.9000,27.0207,27.6162,-0.5954,33.8182,34.5634,31.7768,45.7053,10.9832,15.7973,0.8937,0.2611,11.8163,8.1999,26.7644,18.0833,32.8199,46.7215,True,clean single-plant anchor; raw bias small
lpi_group,lpi_2022,noble_agg,Noble Wethersfield + High Sheldon + Stony Creek + Bliss,2022,1140,438.5000,228.1810,124.1403,104.0408,52.0367,28.3102,85.4662,108.9332,24.1956,30.8392,0.8694,0.3177,50.3915,32.0643,111.4980,68.6500,26.9269,38.3905,False,"aged metered agg (4 plants, includes Bliss); shape-only"
lpi_group,lpi_2023,noble_agg,Noble Wethersfield + High Sheldon + Stony Creek + Bliss,2023,8177,438.5000,148.1960,78.6760,69.5200,33.7961,17.9421,96.2240,145.2255,17.2646,26.0565,0.8484,0.2834,44.5420,27.4024,100.2119,58.5833,36.1335,56.1547,False,"aged metered agg (4 plants, includes Bliss); shape-only"
lpi_group,lpi_2024,noble_agg,Noble Wethersfield + High Sheldon + Stony Creek + Bliss,2024,8706,438.5000,151.5750,93.2515,58.3234,34.5667,21.2660,70.0807,101.8673,14.9034,21.6631,0.9122,0.3441,45.7185,25.9629,100.9651,53.2500,28.9516,41.9957,False,"aged metered agg (4 plants, includes Bliss); shape-only"
lpi_group,lpi_pooled,noble_agg,Noble Wethersfield + High Sheldon + Stony Creek + Bliss,pooled_2022_2024,18023,438.5000,154.8875,88.5924,66.2950,35.3221,20.2035,81.9779,120.7225,16.5624,24.3902,0.8802,0.3143,45.5000,27.0422,101.3330,57.3833,32.1530,48.7393,False,"aged metered agg (4 plants, includes Bliss); shape-only"
