scope,target,site_or_group,label,year,n_hours,nameplate_mw,mean_modeled_mw,mean_ref_mw,mean_bias_mw,cf_modeled_pct,cf_ref_pct,nmae_pct_mean,nrmse_pct_mean,nmae_pct_cap,nrmse_pct_cap,pearson_r,ramp_pearson_r,ramp_std_modeled,ramp_std_ref,ramp_p95_modeled,ramp_p95_ref,cf_norm_nmae_pct,cf_norm_nrmse_pct,level_validatable,notes
per_plant,pluswind,wind_24146,"Madison Windpower, LLC Madison Wind Power",pooled_2018_2021,34686,11.6000,2.2989,2.4947,-0.1958,19.8178,21.5057,7.9900,12.2938,1.7183,2.6439,0.9982,0.9930,1.0199,1.0637,2.2050,2.2990,4.0555,8.8872,True,potential-grade reference
per_plant,pluswind,wind_24204,Canastota Windpower LLC Fenner Wind Power,pooled_2018_2021,34686,30.0000,9.6392,10.4325,-0.7933,32.1306,34.7751,7.6868,12.1604,2.6731,4.2288,0.9963,0.9768,3.2103,3.3633,7.1132,7.4585,6.0222,10.0423,True,potential-grade reference
per_plant,pluswind,wind_323574,"Flat Rock Windpower, LLC Maple Ridge Wind 1",pooled_2018_2021,34686,231.0000,80.7565,79.3203,1.4362,34.9595,34.3378,8.1575,14.4963,2.8011,4.9777,0.9901,0.9542,24.7871,27.8866,54.8716,62.1183,8.7228,14.5196,True,potential-grade reference
per_plant,pluswind,wind_323596,"Niagara Wind Power, LLC Steel Wind",pooled_2018_2021,34686,20.0000,5.8743,4.9108,0.9635,29.3717,24.5541,20.3241,39.0681,4.9904,9.5928,0.9722,0.9121,2.5291,2.2901,5.5200,4.8551,19.5288,30.7249,True,potential-grade reference
per_plant,pluswind,wind_323604,"Valcour Ellenburg Windapark,LLC Ellenburg Wind Power",pooled_2018_2021,34686,81.0000,26.3061,27.2695,-0.9634,32.4767,33.6661,5.0553,9.7483,1.7019,3.2819,0.9963,0.9812,8.9409,9.4481,19.6098,20.6211,5.4329,9.1616,True,potential-grade reference
per_plant,pluswind,wind_323605,"Valcour Clinton Windpark,LLC Clinton Wind Power",pooled_2018_2021,34686,100.5000,29.9010,29.2543,0.6468,29.7522,29.1087,4.7719,10.2301,1.3890,2.9779,0.9961,0.9741,11.0600,11.7002,24.3383,25.4082,5.0982,10.1271,True,potential-grade reference
per_plant,pluswind,wind_323606,"Valcour Altona Windpark, LLC Altona Wind Power",pooled_2018_2021,34686,97.5000,25.7002,26.9971,-1.2969,26.3591,27.6893,5.5639,10.7941,1.5406,2.9888,0.9969,0.9859,11.2949,11.8787,25.3865,26.5095,5.2063,9.3716,True,potential-grade reference
per_plant,pluswind,wind_323608,"Valcour Bliss Windpark, LLC Bliss Wind Power",pooled_2018_2021,34686,100.5000,35.5285,36.7386,-1.2101,35.3518,36.5558,4.3956,7.9736,1.6069,2.9148,0.9974,0.9876,10.6774,11.0905,23.6195,24.5605,4.5408,7.1959,True,potential-grade reference
per_plant,pluswind,wind_323609,"Munnsville Wind Farm, LLC Munnsville Wind Power",pooled_2018_2021,34686,34.5000,9.6904,9.2659,0.4245,28.0880,26.8575,6.6270,11.8277,1.7798,3.1766,0.9957,0.9856,3.7097,3.8692,8.2315,8.6360,7.4082,11.6099,True,potential-grade reference
per_plant,pluswind,wind_323611,"Flat Rock Windpower II, LLC Maple Ridge Wind 2",pooled_2018_2021,34686,90.8000,31.7432,31.1787,0.5645,34.9595,34.3378,8.1575,14.4963,2.8011,4.9777,0.9901,0.9542,9.7432,10.9615,21.5686,24.4171,8.7228,14.5196,True,potential-grade reference
per_plant,pluswind,wind_323614,"Valcour  Chateaugay Windpark, LLC Chateaugay Wind Power",pooled_2018_2021,34686,106.5000,31.5202,32.4246,-0.9045,29.5964,30.4457,5.0136,10.8737,1.5264,3.3106,0.9954,0.9688,11.8379,12.2306,26.0404,26.6747,5.3951,10.6215,True,potential-grade reference
per_plant,pluswind,wind_323617,"Canandaigua Power Partners, LLC Canandaigua Wind Power",pooled_2018_2021,34686,125.0000,43.3418,25.0179,18.3239,34.6734,20.0143,73.2723,99.2301,14.6650,19.8602,0.9712,0.9101,12.8792,8.9062,28.0426,19.6883,17.8939,28.4999,True,potential-grade reference
per_plant,pluswind,wind_323625,Sheldon Energy LLC High Sheldon Wind Farm,pooled_2018_2021,34686,118.1000,39.1754,37.8346,1.3408,33.1714,32.0361,5.3751,8.4398,1.7220,2.7038,0.9981,0.9852,12.7134,12.7087,28.2502,28.3055,3.8322,6.3489,True,potential-grade reference
per_plant,pluswind,wind_323626,"Valcour Wethersfield Windpark, LLC Wethersfield Wind Power",pooled_2018_2021,34686,126.0000,46.2429,46.9564,-0.7135,36.7007,37.2670,3.7447,7.0878,1.3956,2.6414,0.9974,0.9806,13.4607,14.0132,29.7963,31.3457,4.1004,6.9795,True,potential-grade reference
per_plant,pluswind,wind_323673,Hardscrabble Wind Power LLC Hardscrabble Wind,pooled_2018_2021,34686,74.0000,21.3135,19.1140,2.1995,28.8020,25.8297,19.1560,32.0940,4.9479,8.2898,0.9698,0.9247,7.7020,8.0721,16.8754,17.8014,19.3377,29.7045,True,potential-grade reference
per_plant,pluswind,wind_323690,Howard Wind LLC Howard Wind,pooled_2018_2021,34686,55.4000,15.3798,16.4715,-1.0917,27.7614,29.7320,7.8585,13.9288,2.3365,4.1413,0.9940,0.9678,5.4215,5.7595,11.8043,12.5842,7.1618,12.4258,True,potential-grade reference
per_plant,pluswind,wind_323693,"Erie Wind, LLC Erie Wind",pooled_2018_2021,34686,15.0000,4.4461,3.9618,0.4843,29.6410,26.4121,15.2915,29.6621,4.0388,7.8344,0.9790,0.9500,1.9315,1.8001,4.2083,3.8825,17.4425,25.6250,True,potential-grade reference
per_plant,pluswind,wind_323696,Marble River LLC Marble River Wind,pooled_2018_2021,34686,215.2000,70.3309,66.1755,4.1554,32.6817,30.7507,7.9063,15.3183,2.4312,4.7105,0.9920,0.9518,23.6664,25.4477,53.1431,55.6119,8.0268,14.3386,True,potential-grade reference
per_plant,pluswind,wind_323706,Stony Creek Energy LLC Orangeville Wind Farm,pooled_2018_2021,34686,93.9000,44.6798,46.1842,-1.5044,47.5824,49.1845,4.2802,7.3598,2.1052,3.6199,0.9968,0.9751,11.0780,11.8188,24.8992,26.7069,4.2057,6.4292,True,potential-grade reference
per_plant,pluswind,wind_323713,Marsh Hill Energy LLC Marsh Hill Wind Farm,pooled_2018_2021,34686,16.2000,7.3982,7.7152,-0.3170,45.6678,47.6246,4.3953,7.1607,2.0933,3.4103,0.9974,0.9909,1.9677,2.0181,4.4020,4.5643,4.4305,6.1568,True,potential-grade reference
per_plant,pluswind,wind_323719,Jericho Rise Wind Farm LLC Jericho Rise Wind Farm,pooled_2018_2021,34686,77.7000,30.5998,29.2283,1.3715,39.3820,37.6169,6.7157,11.6943,2.5262,4.3990,0.9942,0.9599,9.9589,10.1455,22.5429,22.5022,6.6970,11.0084,True,potential-grade reference
per_plant,pluswind,wind_323751,Arkwright Summit Wind Farm LLC Arkwright Summit Wind Farm,pooled_2018_2021,34686,78.4000,34.4003,32.9297,1.4706,43.8779,42.0022,5.2464,9.0307,2.2036,3.7931,0.9964,0.9736,9.6335,9.9066,21.9708,22.5539,5.8631,8.4363,True,potential-grade reference
per_plant,pluswind,wind_323753,Galt Power Inc. Copenhagen Wind Farm,pooled_2018_2021,34686,79.9000,31.6282,29.8660,1.7622,39.5848,37.3792,8.8489,15.4641,3.3077,5.7804,0.9893,0.9429,9.9082,10.6058,22.0264,23.8023,9.4881,15.0046,True,potential-grade reference
fleet_intersection,pluswind,INTERSECTION_22,fleet sum on 23-plant PLUSWIND overlap,pooled_2018_2021,34686,1978.7000,677.8953,651.7422,26.1531,34.2596,32.9379,4.2623,5.9117,1.4039,1.9472,0.9991,0.9875,112.6848,113.0864,244.2929,245.2331,2.4858,3.6757,True,headline fleet-level potential metric
lpi_group,lpi_2022,maple_ridge,Maple Ridge 1 (MR2 not in LPI),2022,2710,231.0000,92.0202,66.3139,25.7063,39.8356,28.7073,52.4995,75.4229,15.0712,21.6519,0.8621,0.3480,27.9029,19.6489,61.8707,42.3875,32.6784,48.2805,False,aged metered; shape-only
lpi_group,lpi_2023,maple_ridge,Maple Ridge 1 (MR2 not in LPI),2023,8751,231.0000,67.6813,43.5398,24.1415,29.2993,18.8484,71.3357,111.8511,13.4457,21.0822,0.8455,0.3254,26.8362,15.5443,60.0435,34.0000,41.2899,62.7645,False,aged metered; shape-only
lpi_group,lpi_2024,maple_ridge,Maple Ridge 1 (MR2 not in LPI),2024,8782,231.0000,76.0591,54.4532,21.6059,32.9260,23.5728,55.6101,80.8156,13.1089,19.0505,0.8980,0.3320,26.8277,15.9932,59.0254,35.1667,31.9607,46.1986,False,aged metered; shape-only
lpi_group,lpi_pooled,maple_ridge,Maple Ridge 1 (MR2 not in LPI),pooled_2022_2024,20243,231.0000,74.5742,51.3232,23.2510,32.2832,22.2178,60.8392,91.3962,13.5172,20.3063,0.8718,0.3311,26.9788,16.3424,60.1041,35.8333,35.6173,53.3198,False,aged metered; shape-only
lpi_group,lpi_2022,marble_agg,Marble River + Chateaugay + Clinton + Ellenburg (Jericho excl.),2022,1492,503.2000,205.7103,119.1176,86.5927,40.8804,23.6720,85.7360,119.6839,20.2954,28.3316,0.8748,0.2673,59.5340,24.2418,134.2357,49.3955,31.9761,42.5079,False,aged metered agg (4 plants); shape-only
lpi_group,lpi_2023,marble_agg,Marble River + Chateaugay + Clinton + Ellenburg (Jericho excl.),2023,5906,503.2000,122.1499,89.8476,32.3023,24.2746,17.8552,72.5053,119.2747,12.9460,21.2968,0.7297,0.2235,59.2084,28.0677,135.5222,60.2750,54.0960,85.0713,False,aged metered agg (4 plants); shape-only
lpi_group,lpi_2024,marble_agg,Marble River + Chateaugay + Clinton + Ellenburg (Jericho excl.),2024,7561,503.2000,140.2929,94.6776,45.6153,27.8801,18.8151,68.1821,104.4775,12.8285,19.6575,0.8592,0.2392,56.2542,30.4075,126.4484,65.6167,39.8486,58.2979,False,aged metered agg (4 plants); shape-only
