GEN,UnitOnT0State,PowerGeneratedT0
NYISO_Arthur_Kill_ST_2_B82,12,349.0
NYISO_Arthur_Kill_ST_3_B82,85,539.0
NYISO_Allegany_B62,165,66.0
NYISO_Brooklyn_Navy_Yard_B82,8,240.0
NYISO_Astoria_3_B82,-169,0.0
NYISO_Astoria_5_B82,-48,0.0
NYISO_Wading_River_1_B80,-163,0.0
NYISO_Bowline_1_B77,-169,0.0
NYISO_Ravenswood_ST_01_B82,-169,0.0
NYISO_Ravenswood_ST_02_B82,-169,0.0
NYISO_Ravenswood_ST_03_B82,-169,0.0
NYISO_Somerset_B56,151,731.0
NYISO_Barrett_ST_01_B79,10,209.0
NYISO_Barrett_ST_02_B79,11,201.0
NYISO_Wading_River_2_B80,-164,0.0
NYISO_Northport_1_B80,11,410.0
NYISO_Northport_2_B80,8,410.0
NYISO_Northport_3_B80,11,411.0
NYISO_Port_Jefferson_3_B80,-169,0.0
NYISO_Greenidge_4_B65,-169,0.0
NYISO_Cayuga_1_B65,10,166.0
NYISO_Danskammer_1_B77,-169,0.0
NYISO_Roseton_1_B77,-169,0.0
NYISO_Roseton_2_B77,-169,0.0
NYISO_Danskammer_2_B77,-169,0.0
NYISO_Danskammer_3_B77,-169,0.0
NYISO_Danskammer_4_B77,-21,0.0
NYISO_Bowline_2_B77,-169,0.0
NYISO_Wading_River_3_B80,-163,0.0
NYISO_Oswego_5_B50,-169,0.0
NYISO_Oswego_6_B50,-169,0.0
NYISO_Port_Jefferson_4_B80,-169,0.0
NYISO_Hillburn_GT_B77,168,37.0
NYISO_Northport_4_B80,11,413.0
NYISO_Athens_1_B42,11,390.0
NYISO_Athens_2_B42,35,378.0
NYISO_Athens_3_B42,10,392.0
NYISO_Glenwood_GT_02_B79,-28,0.0
NYISO_Glenwood_GT_03_B79,-164,0.0
NYISO_Holtsville_01_B80,-164,0.0
NYISO_Holtsville_02_B80,-164,0.0
NYISO_Holtsville_03_B80,-164,0.0
NYISO_Holtsville_04_B80,-164,0.0
NYISO_Holtsville_05_B80,-164,0.0
NYISO_Holtsville_06_B80,-164,0.0
NYISO_Holtsville_07_B80,-164,0.0
NYISO_Holtsville_08_B80,-164,0.0
NYISO_Holtsville_09_B80,-164,0.0
NYISO_Holtsville_10_B80,-164,0.0
NYISO_Barrett_GT_01_B79,5,22.0
NYISO_Barrett_GT_02_B79,7,22.0
NYISO_Barrett_03_B79,7,24.0
NYISO_Barrett_04_B79,7,24.0
NYISO_Barrett_05_B79,7,22.0
NYISO_Barrett_06_B79,7,22.0
NYISO_Barrett_08_B79,7,23.0
NYISO_West_Babylon_4_B79,-164,0.0
NYISO_Indeck-Silver_Springs_B65,-169,0.0
NYISO_Sterling_B45,-169,0.0
NYISO_Indeck-Yerkes_B57,-169,0.0
NYISO_Indeck-Oswego_B50,-169,0.0
NYISO_Lockport_B56,-169,0.0
NYISO_Saranac_Energy_B48,10,268.0
NYISO_Flynn_B80,8,111.0
NYISO_Rensselaer_B42,-169,0.0
NYISO_Selkirk-II_B42,-169,0.0
NYISO_Greenport_GT1_B80,168,30.75
NYISO_Far_Rockaway_GT2_B79,168,23.5
NYISO_KIAC_JFK_GT1_B82,13,65.0
NYISO_KIAC_JFK_GT2_B82,13,71.0
NYISO_Freeport_CT_2_B79,168,51.0
NYISO_Bethpage_B79,13,61.0
NYISO_Castleton_Energy_Center_B42,-169,0.0
NYISO_Independence_B50,110,1218.0
