zone,name,COD,n,sigma_scen,skill,ratio,sigma_pool,sigma_2024,year_ratio
A,Arkwright Summit Wind Fa,2018,1248,14.672952261498173,13.628600589152581,1.0766294136741246,16.005233767737185,12.912673959058287,1.239498017101985
A,"Ball Hill Wind Energy, L",2024,1248,14.571432730987521,17.765273884487257,0.8202199879232587,16.557713693905708,16.557713693905708,1.0
A,"Cassadaga Wind, LLC Cass",2021,1248,14.563470065562209,15.9926254820963,0.91063659821622,16.05739916459253,15.503320571664938,1.035739349539109
A,"Erie Wind, LLC Erie Wind",2012,1248,2.773802095221646,2.899807554109849,0.9565469581905124,2.9637256072824827,2.7268160396169483,1.0868813899520755
A,"Niagara Wind Power, LLC ",2007,1248,3.657450770244283,3.8092595099392614,0.9601474409136805,3.9138553046249105,3.597123532084103,1.0880514026598636
A,"Valcour Bliss Windpark, ",2008,1248,15.557843330065808,12.921345116738333,1.2040420861379324,17.15518768559148,12.959341606245033,1.3237700036647302
C,"Baron Winds, LLC Baron W",2023,1248,18.14879123412779,19.548746772972198,0.9283864303373162,19.24315544989457,18.784317861148477,1.0244266303486647
C,Canandaigua Power Partne,2008,1248,19.468644352199345,16.61907427816911,1.1714638268253872,21.3874152375583,16.029496017758607,1.3342537540708588
C,Canastota Windpower LLC ,2001,1248,4.9107725629972805,4.106626879149938,1.1958165929147668,5.143475301812173,4.045786778364032,1.271316454272463
C,Howard Wind LLC Howard W,2011,1248,7.981830103189324,6.1392285221489775,1.3001356887746804,8.56295246684414,6.4511211497209,1.3273588060293373
C,Marsh Hill Energy LLC Ma,2014,1248,3.01314258771318,2.551649765891699,1.1808605663638985,3.315946566133084,2.4894316746249725,1.3320094702469085
C,NextEra Energy Marketing,2023,1248,14.53195694205388,16.009368366518355,0.9077158204720742,15.699318305956796,15.30547955724668,1.0257318790461318
C,Sheldon Energy LLC High ,2009,1248,18.06822045260782,15.921509246930082,1.1348308864683578,20.24811276328019,15.380922022568763,1.3164433662409634
C,Stony Creek Energy LLC O,2013,1248,17.005550797160286,14.880341173043519,1.1428199528090586,19.1583908545079,14.111960863791262,1.357599488790028
C,Valcour Wethersfield Win,2008,1248,19.847826151928295,15.863771980581236,1.2511416689690145,22.12622480969516,16.419493033898934,1.3475583420276356
D,Jericho Rise Wind Farm L,2016,1248,15.129486511871747,13.822582560416004,1.0945484641342167,16.593452942633196,13.696097457772481,1.2115460622117928
D,Marble River LLC Marble ,2012,1248,35.851841395767806,32.73054218369617,1.0953635046603787,39.56673921987268,31.94014202472873,1.238777810982784
D,Valcour  Chateaugay Wind,2008,1224,17.305800423766097,16.13718377788151,1.07241763259128,19.014131213030225,15.594470121816638,1.2192867769472646
D,"Valcour Altona Windpark,",2008,1248,15.956535897189205,16.55748307031902,0.9637054031353912,17.7724171255444,15.069129983458353,1.1793923833063682
D,Valcour Clinton Windpark,2008,1224,16.18724753646883,15.142035358860708,1.069027191710822,17.91574674584884,14.77708773838989,1.2124003770583918
D,Valcour Ellenburg Windap,2008,1248,13.495809400100196,13.494822660603221,1.00007311985654,14.751525515846254,11.887981079028815,1.2408772707309335
E,Avangrid Renewables LLC ,2021,1248,11.515102076974971,12.118317607356563,0.9502228320855857,12.33561500681374,11.57967397335299,1.0652817199517284
E,"Bluestone Wind, LLC Blue",2024,1248,13.006487390192278,14.829218662921022,0.8770851442573775,15.783016242295155,15.783016242295155,1.0
E,"Flat Rock Windpower II, ",2007,1248,14.817252204811497,13.557923225915781,1.092885094413909,16.014927499981546,12.640541952611175,1.2669494361887956
E,"Flat Rock Windpower, LLC",2006,1248,37.69585843418239,34.49147690566154,1.0929035754915692,40.74282216345256,32.15820694642249,1.2669494363082046
E,Galt Power Inc. Copenhag,2018,1248,15.342536654146224,14.337054648660919,1.0701316993012382,16.644071884881075,13.459396683258348,1.2366135181663847
E,Hardscrabble Wind Power ,2011,1248,10.796887921865666,9.429024666183656,1.1450694323229134,12.166936738320475,9.35351058883197,1.3007882572825349
E,"Madison Windpower, LLC M",2000,1248,1.4347572207338497,1.1977571918636676,1.197869844138793,1.555397072988005,1.185459516926964,1.3120625806101085
E,"Munnsville Wind Farm, LL",2007,1248,5.3822640711709955,4.389478285770603,1.226173982593492,5.843106129934624,4.548102365033486,1.2847349643792818
E,Number Three Wind LLC Nu,2023,1248,16.485691034503542,18.293355364606715,0.901184649066591,17.3602162222027,17.148155102643432,1.0123664101642385
K,Long Island Power Author,2024,1248,26.38736937143408,28.98792674647281,0.9102882590471856,29.54342705514448,29.54342705514448,1.0
